  5072.623 607.01315     0.593  -3.01200               7.720
  5075.859 607.01315     0.603  -2.98900               7.720
  5079.246 607.01315     0.613  -2.96800               7.720
  5082.786 607.01315     0.624  -2.94800               7.720
  5086.480 607.01315     0.635  -2.92900               7.720
  5090.328 607.01315     0.646  -2.91000               7.720
  5143.866 607.01214     0.031  -4.11800               7.720
  5145.885 607.01214     0.037  -4.07100               7.720
  5148.043 607.01214     0.043  -4.02800               7.720
  5148.934 607.01214     0.021  -4.17300               7.720
  5150.258 607.01214     0.026  -4.12000               7.720
  5150.344 607.01214     0.049  -3.98800               7.720
  5151.750 607.01214     0.031  -4.07300               7.720
  5152.788 607.01214     0.056  -3.95000               7.720
  5153.409 607.01214     0.037  -4.02900               7.720
  5155.235 607.01214     0.043  -3.98900               7.720
  5155.376 607.01214     0.064  -3.91600               7.720
  5157.227 607.01214     0.049  -3.95100               7.720
  5158.111 607.01214     0.072  -3.88400               7.720
  5159.385 607.01214     0.056  -3.91700               7.720
  5160.992 607.01214     0.080  -3.85400               7.720
  5161.707 607.01214     0.064  -3.88400               7.720
  5164.022 607.01214     0.089  -3.82500               7.720
  5164.194 607.01214     0.072  -3.85400               7.720
  5166.845 607.01214     0.080  -3.82600               7.720
  5167.202 607.01214     0.098  -3.79800               7.720
  5169.660 607.01214     0.089  -3.79900               7.720
  5170.532 607.01214     0.108  -3.77300               7.720
  5172.639 607.01214     0.098  -3.77300               7.720
  5174.014 607.01214     0.118  -3.74900               7.720
  5175.782 607.01214     0.108  -3.74900               7.720
  5177.649 607.01214     0.129  -3.72600               7.720
  5179.088 607.01214     0.118  -3.72700               7.720
  5181.438 607.01214     0.140  -3.70400               7.720
  5181.512 607.01215     0.025  -4.15700               7.720
  5182.559 607.01214     0.129  -3.70500               7.720
  5183.358 607.01215     0.030  -4.10500               7.720
  5185.340 607.01215     0.035  -4.05800               7.720
  5185.383 607.01214     0.152  -3.68400               7.720
  5186.194 607.01214     0.140  -3.68400               7.720
  5187.459 607.01215     0.041  -4.01400               7.720
  5188.709 607.01215     0.020  -4.16000               7.720
  5189.483 607.01214     0.164  -3.66400               7.720
  5189.717 607.01215     0.048  -3.97400               7.720
  5189.994 607.01214     0.152  -3.66400               7.720
  5190.001 607.01215     0.025  -4.10700               7.720
  5191.457 607.01215     0.030  -4.05900               7.720
  5192.115 607.01215     0.054  -3.93700               7.720
  5192.123 607.01215     0.086  -4.04200               7.720
  5193.078 607.01215     0.035  -4.01500               7.720
  5193.741 607.01214     0.177  -3.64500               7.720
  5193.959 607.01214     0.164  -3.64500               7.720
  5194.197 607.01215     0.095  -4.01900               7.720
  5194.654 607.01215     0.062  -3.90200               7.720
  5194.862 607.01215     0.041  -3.97500               7.720
  5195.858 607.01314     0.025  -4.15200               7.720
  5196.430 607.01215     0.105  -3.99700               7.720
