#Table: J/ApJS/95/535/./table11.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
5353.9636|3.214E-04|7.696E+00|37278.5186|8.169E-05|6.689E-28|13|10|R|100
5384.2686|2.862E-04|6.841E+00|26527.9968|1.521E-05|2.163E-26|16|13|R| 20
5394.1431|4.941E-07|1.222E-02|20765.1284|1.253E-07|2.827E-27| 4| 1|P|100
5401.8264|1.260E-04|3.193E+00|22856.5636|6.398E-06|5.296E-26|14|11|P| 20
5412.3510|9.312E-05|2.307E+00|42106.4659|3.222E-05|2.611E-29| 8| 5|R|135
5417.3305|1.904E-04|3.165E+00|23986.8951|4.850E-07|2.336E-27|15|12|R|  0
5434.7792|2.419E-04|6.059E+00|35548.0746|6.243E-05|1.176E-27|12| 9|R|100
5461.4948|2.247E-04|5.607E+00|24705.1121|1.212E-05|4.142E-26|15|12|R| 20
5469.9422|1.062E-07|2.738E-03|18798.7272|2.730E-08|1.586E-27| 3| 0|P|100
5478.1179|9.420E-05|2.491E+00|20982.2696|4.852E-06|9.897E-26|13|10|P| 20
5494.1124|1.461E-04|2.533E+00|22131.0050|3.773E-07|4.439E-27|14|11|R|  0
5495.8395|5.695E-05|1.477E+00|40391.2511|2.001E-05|3.702E-29| 7| 4|R|135
5515.8361|1.771E-04|4.636E+00|33791.7162|4.637E-05|2.034E-27|11| 8|R|100
5538.9714|1.731E-04|4.506E+00|22856.5636|9.466E-06|7.877E-26|14|11|R| 20
5554.6538|6.864E-05|1.892E+00|19082.1499|3.585E-06|1.824E-25|12| 9|P| 20
5571.1419|1.097E-04|1.983E+00|20249.3682|2.873E-07|8.355E-27|13|10|R|  0
5579.5551|3.174E-05|8.613E-01|38649.6626|1.132E-05|4.844E-29| 6| 3|R|135
5597.1321|1.253E-04|3.428E+00|32009.3643|3.330E-05|3.444E-27|10| 7|R|100
5616.6958|1.305E-04|3.543E+00|20982.2696|7.238E-06|1.484E-25|13|10|R| 20
5631.4306|4.852E-05|1.394E+00|17156.1253|2.569E-06|3.301E-25|11| 8|P| 20
5648.4159|8.025E-05|1.512E+00|18341.9044|2.131E-07|1.552E-26|12| 9|R|  0
5663.4938|1.542E-05|4.376E-01|36881.6266|5.584E-06|5.594E-29| 5| 2|R|135
5678.6644|8.504E-05|2.430E+00|30200.9409|2.293E-05|5.661E-27| 9| 6|R|100
5694.6649|9.598E-05|2.715E+00|19082.1499|5.396E-06|2.759E-25|12| 9|R| 20
5708.4442|3.308E-05|9.896E-01|15204.1184|1.775E-06|5.833E-25|10| 7|P| 20
5725.9306|5.700E-05|1.119E+00|16408.5346|1.534E-07|2.831E-26|11| 8|R|  0
5747.6505|5.970E-06|1.771E-01|35087.0708|2.194E-06|5.212E-29| 4| 1|R|135
5760.4294|5.477E-05|1.634E+00|28366.3694|1.498E-05|8.940E-27| 8| 5|R|100
5772.8751|6.852E-05|2.019E+00|17156.1253|3.905E-06|5.042E-25|11| 8|R| 20
5785.6904|2.158E-05|6.722E-01|13226.0530|1.174E-06|9.986E-25| 9| 6|P| 20
5803.6820|3.906E-05|7.983E-01|14449.1813|1.066E-07|5.045E-26|10| 7|R|  0
5832.0198|1.438E-06|4.455E-02|33265.9252|5.361E-07|3.058E-29| 3| 0|R|135
5842.4231|3.294E-05|1.025E+00|26505.5749|9.139E-06|1.335E-26| 7| 4|R|100
5851.3225|4.723E-05|1.449E+00|15204.1184|2.728E-06|9.004E-25|10| 7|R| 20
5863.1646|1.333E-05|4.321E-01|11221.8547|7.349E-07|1.638E-24| 8| 5|P| 20
5881.6659|2.564E-05|5.454E-01|12463.7686|7.090E-08|8.718E-26| 9| 6|R|  0
5924.6407|1.804E-05|5.854E-01|24618.4838|5.075E-06|1.837E-26| 6| 3|R|100
5930.0027|3.119E-05|9.960E-01|13226.0530|1.826E-06|1.560E-24| 9| 6|R| 20
5940.8620|7.666E-06|2.585E-01| 9191.4507|4.282E-07|2.534E-24| 7| 4|P| 20
5959.8775|1.594E-05|3.529E-01|10452.2222|4.467E-08|1.445E-25| 8| 5|R|  0
6007.0772|8.604E-06|2.910E-01|22705.0248|2.454E-06|2.229E-26| 5| 2|R|100
6008.9110|1.952E-05|6.486E-01|11221.8547|1.158E-06|2.593E-24| 8| 5|R| 20
6018.7775|4.002E-06|1.403E-01| 7134.7700|2.265E-07|3.602E-24| 6| 3|P| 20
6038.3121|9.239E-06|2.126E-01| 8414.4693|2.623E-08|2.259E-25| 7| 4|R|  0
6088.0427|1.139E-05|3.937E-01| 9191.4507|6.846E-07|4.068E-24| 7| 4|R| 20
6089.7267|3.267E-06|1.151E-01|20765.1284|9.447E-07|2.181E-26| 4| 1|R|100
6096.9061|1.815E-06|6.617E-02| 5051.7432|1.041E-07|4.504E-24| 5| 2|P| 20
6116.9646|4.865E-06|1.164E-01| 6350.4391|1.399E-08|3.250E-25| 6| 3|R|  0
6167.3927|6.044E-06|2.172E-01| 7134.7700|3.680E-07|5.876E-24| 6| 3|R| 20
6172.5834|7.713E-07|2.830E-02|18798.7272|2.261E-07|1.343E-26| 3| 0|R|100
6175.2426|6.540E-07|2.477E-02| 2942.3028|3.797E-08|4.529E-24| 4| 1|P| 20
6195.8300|2.228E-06|5.539E-02| 4260.0622|6.489E-09|4.117E-25| 5| 2|R|  0
6246.9560|2.791E-06|1.042E-01| 5051.7432|1.721E-07|7.479E-24| 5| 2|R| 20
6253.7819|1.461E-07|5.746E-03|  806.3828|8.589E-09|2.859E-24| 3| 0|P| 20
6274.9032|8.114E-07|2.096E-02| 2143.2711|2.394E-09|4.199E-25| 4| 1|R|  0
6326.7274|1.026E-06|3.978E-02| 2942.3028|6.406E-08|7.670E-24| 4| 1|R| 20
6354.1791|1.835E-07|4.921E-03|    0.0000|5.481E-10|2.693E-25| 3| 0|R|  0
6406.7016|2.341E-07|9.431E-03|  806.3828|1.481E-08|4.949E-24| 3| 0|R| 20
------------------------------------------------------------------------
