#Table: J/ApJS/95/535/./table11.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
         |         |         |          |         |         |  |  |y|
         |         |         |          |         |         |  |  |p|
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e| Jl
---------|---------|---------|----------|---------|---------|--|--|-|---
3486.0233|6.912E-04|4.608E+00|64722.5752|1.529E-04|2.117E-33|23|20|P|135
3556.5852|5.906E-04|4.182E+00|63393.7106|1.333E-04|3.517E-33|22|19|P|135
3627.3102|5.008E-04|3.762E+00|62039.5983|1.153E-04|5.866E-33|21|18|P|135
3698.2139|4.220E-04|3.359E+00|60660.1760|9.904E-05|9.835E-33|20|17|P|135
3769.3097|3.524E-04|2.970E+00|59255.3776|8.430E-05|1.653E-32|19|16|P|135
3840.6091|2.912E-04|2.596E+00|57825.1335|7.097E-05|2.782E-32|18|15|P|135
3912.1220|2.377E-04|2.240E+00|56369.3713|5.902E-05|4.680E-32|17|14|P|135
3983.8565|1.914E-04|1.905E+00|54888.0162|4.839E-05|7.856E-32|16|13|P|135
3997.8162|6.513E-04|6.559E+00|53175.4284|1.224E-04|4.524E-31|23|20|P|100
4055.8191|1.516E-04|1.592E+00|53380.9918|3.902E-05|1.313E-31|15|12|P|135
4069.2092|5.558E-04|5.902E+00|51699.6990|1.063E-04|8.020E-31|22|19|P|100
4128.0151|1.179E-04|1.305E+00|51848.2200|3.088E-05|2.179E-31|14|11|P|135
4140.8121|4.693E-04|5.251E+00|50198.8523|9.135E-05|1.423E-30|21|18|P|100
4186.9565|3.267E-03|3.747E+01|64722.5752|8.746E-04|1.291E-32|23|20|R|135
4200.4483|8.965E-05|1.046E+00|50289.6222|2.390E-05|3.581E-31|13|10|P|135
4212.6341|3.934E-04|4.635E+00|48672.8133|7.791E-05|2.537E-30|20|17|P|100
4267.2756|2.835E-03|3.441E+01|63393.7106|7.734E-04|2.171E-32|22|19|R|135
4273.1212|6.646E-05|8.162E-01|48705.1189|1.802E-05|5.805E-31|12| 9|P|135
4284.6828|3.264E-04|4.046E+00|47121.5049|6.574E-05|4.529E-30|19|16|P|100
4346.0354|4.780E-05|6.176E-01|47094.6307|1.319E-05|9.240E-31|11| 8|P|135
4347.7423|2.445E-03|3.140E+01|62039.5983|6.798E-04|3.674E-32|21|18|R|135
4356.9644|2.675E-04|3.486E+00|45544.8484|5.478E-05|8.079E-30|18|15|P|100
4419.1912|3.315E-05|4.503E-01|45458.0782|9.297E-06|1.435E-30|10| 7|P|135
4428.3737|2.092E-03|2.839E+01|60660.1760|5.924E-04|6.238E-32|20|17|R|135
4429.4838|2.163E-04|2.962E+00|43942.7635|4.503E-05|1.439E-29|17|14|P|100
4492.5880|2.198E-05|3.137E-01|43795.3826|6.267E-06|2.158E-30| 9| 6|P|135
4502.2445|1.722E-04|2.477E+00|42315.1695|3.645E-05|2.554E-29|16|13|P|100
4509.1843|1.775E-03|2.542E+01|59255.3776|5.117E-04|1.062E-31|19|16|R|135
4558.8575|2.215E-03|3.275E+01|53175.4284|4.796E-04|1.844E-30|23|20|R|100
4566.2243|1.378E-05|2.064E-01|42106.4659|3.992E-06|3.104E-30| 8| 5|P|135
4575.2489|1.348E-04|2.034E+00|40661.9850|2.899E-05|4.508E-29|15|12|P|100
4590.1869|1.491E-03|2.253E+01|57825.1335|4.376E-04|1.813E-31|18|15|R|135
4637.3639|1.916E-03|2.982E+01|51699.6990|4.220E-04|3.309E-30|22|19|R|100
4640.0977|8.025E-06|1.262E-01|40391.2511|2.363E-06|4.201E-30| 7| 4|P|135
4648.4983|1.034E-04|1.636E+00|38983.1285|2.259E-05|7.893E-29|14|11|P|100
4671.3923|1.239E-03|1.973E+01|56369.3713|3.699E-04|3.095E-31|17|14|R|135
4714.2050|4.232E-06|6.979E-02|38649.6626|1.266E-06|5.211E-30| 6| 3|P|135
4716.0740|1.648E-03|2.697E+01|50198.8523|3.689E-04|5.969E-30|21|18|R|100
4721.9930|7.747E-05|1.285E+00|37278.5186|1.720E-05|1.367E-28|13|10|P|100
4726.5054|8.142E-04|1.383E+01|38576.6231|3.618E-05|1.543E-28|23|20|P| 20
4752.8095|1.016E-03|1.705E+01|54888.0162|3.088E-04|5.282E-31|16|13|R|135
4788.5422|1.931E-06|3.336E-02|36881.6266|5.867E-07|5.661E-30| 5| 2|P|135
4794.9976|1.402E-03|2.413E+01|48672.8133|3.193E-04|1.079E-29|20|17|R|100
4795.7325|5.652E-05|9.825E-01|35548.0746|1.274E-05|2.332E-28|12| 9|P|100
4800.5364|6.934E-04|1.234E+01|36931.0393|3.130E-05|2.951E-28|22|19|P| 20
4812.1655|9.258E-04|1.079E+01|37917.0909|2.094E-06|1.231E-29|23|20|R|  0
4834.4458|8.217E-04|1.451E+01|53380.9918|2.540E-04|8.989E-31|15|12|R|135
4850.7623|1.068E-03|1.867E+01|38576.6231|5.114E-05|2.196E-28|23|20|R| 20
4863.1045|6.951E-07|1.258E-02|35087.0708|2.145E-07|4.914E-30| 4| 1|P|135
4869.7153|3.996E-05|7.272E-01|33791.7162|9.148E-06|3.901E-28|11| 8|P|100
4874.1433|1.183E-03|2.137E+01|47121.5049|2.737E-04|1.954E-29|19|16|R|100
4874.8146|5.864E-04|1.092E+01|35260.3801|2.688E-05|5.669E-28|21|18|P| 20
4886.9295|7.897E-04|9.635E+00|36264.1752|1.814E-06|2.366E-29|22|19|R|  0
4916.3069|6.533E-04|1.213E+01|51848.2200|2.054E-04|1.522E-30|14|11|R|135
4926.2252|9.131E-04|1.672E+01|36931.0393|4.441E-05|4.214E-28|22|19|R| 20
4937.8864|1.539E-07|2.916E-03|33265.9252|4.822E-08|2.655E-30| 3| 0|P|135
4943.9392|2.720E-05|5.180E-01|32009.3643|6.322E-06|6.362E-28|10| 7|P|100
4949.3431|4.900E-04|9.555E+00|33564.5613|2.280E-05|1.089E-27|20|17|P| 20
4953.5177|9.866E-04|1.871E+01|45544.8484|2.321E-04|3.542E-29|18|15|R|100
4961.9419|6.678E-04|8.528E+00|34586.1834|1.558E-06|4.559E-29|21|18|R|  0
4998.3973|5.094E-04|9.940E+00|50289.6222|1.628E-04|2.559E-30|13|10|R|135
5001.9351|7.729E-04|1.481E+01|35260.3801|3.816E-05|8.100E-28|21|18|R| 20
5018.4013|1.768E-05|3.521E-01|30200.9409|4.171E-06|1.003E-27| 9| 6|P|100
5024.1240|4.050E-04|8.261E+00|31843.4982|1.913E-05|2.093E-27|19|16|P| 20
5033.1263|8.133E-04|1.618E+01|43942.7635|1.944E-04|6.422E-29|17|14|R|100
5037.2056|5.591E-04|7.470E+00|32883.0311|1.324E-06|8.803E-29|20|17|R|  0
5077.8953|6.488E-04|1.301E+01|33564.5613|3.253E-05|1.563E-27|20|17|R| 20
5080.7198|3.882E-04|7.955E+00|48705.1189|1.261E-04|4.254E-30|12| 9|R|135
5093.0982|1.085E-05|2.258E-01|28366.3694|2.597E-06|1.510E-27| 8| 5|P|100
5099.1585|3.307E-04|7.051E+00|30097.1061|1.585E-05|4.021E-27|18|15|P| 20
5112.7226|4.631E-04|6.470E+00|31154.6333|1.113E-06|1.701E-28|19|16|R|  0
5112.9729|6.615E-04|1.380E+01|42315.1695|1.606E-04|1.162E-28|16|13|R|100
5154.1079|5.390E-04|1.130E+01|31843.4982|2.743E-05|3.018E-27|19|16|R| 20
5163.2764|2.879E-04|6.191E+00|47094.6307|9.504E-05|6.967E-30|11| 8|R|135
5168.0256|6.175E-06|1.343E-01|26505.5749|1.500E-06|2.137E-27| 7| 4|P|100
5174.4469|2.663E-04|5.935E+00|28325.3003|1.296E-05|7.714E-27|17|14|P| 20
5188.4938|3.790E-04|5.534E+00|29400.9052|9.244E-07|3.287E-28|18|15|R|  0
5193.0605|5.298E-04|1.158E+01|40661.9850|1.306E-04|2.097E-28|15|12|R|100
5230.5742|4.424E-04|9.697E+00|30097.1061|2.285E-05|5.829E-27|18|15|R| 20
5243.1790|3.177E-06|7.218E-02|24618.4838|7.832E-07|2.767E-27| 6| 3|P|100
5246.0676|2.066E-04|4.660E+00|45458.0782|6.928E-05|1.117E-29|10| 7|R|135
5249.9887|2.113E-04|4.917E+00|26527.9968|1.043E-05|1.475E-26|16|13|P| 20
5264.5195|3.060E-04|4.668E+00|27621.7621|7.574E-07|6.343E-28|17|14|R|  0
5273.3905|4.168E-04|9.538E+00|38983.1285|1.044E-04|3.761E-28|14|11|R|100
5307.2946|3.585E-04|8.207E+00|28325.3003|1.878E-05|1.124E-26|17|14|R| 20
5318.5534|1.412E-06|3.347E-02|22705.0248|3.530E-07|3.132E-27| 5| 2|P|100
5325.7825|1.648E-04|4.003E+00|24705.1121|8.250E-06|2.806E-26|15|12|P| 20
5329.0929|1.423E-04|3.365E+00|43795.3826|4.849E-05|1.742E-29| 9| 6|R|135
5340.7988|2.434E-04|3.877E+00|25817.1199|6.112E-07|1.220E-27|16|13|R|  0
