#Table: J/ApJS/95/535/./table9.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
         |         |         |          |         |         |  |  |y|
         |         |         |          |         |         |  |  |p|
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e| Jl
---------|---------|---------|----------|---------|---------|--|--|-|---
 944.3333|2.798E-01|3.709E+01|64722.5752|1.677E-02|1.041E-31|21|20|P|135
 964.6793|2.674E-01|3.778E+01|63393.7106|1.637E-02|1.955E-31|20|19|P|135
 985.0890|2.544E-01|3.828E+01|62039.5983|1.590E-02|3.696E-31|19|18|P|135
1005.5666|2.415E-01|3.864E+01|60660.1760|1.541E-02|7.052E-31|18|17|P|135
1026.1157|2.280E-01|3.877E+01|59255.3776|1.485E-02|1.354E-30|17|16|P|135
1046.7392|2.146E-01|3.873E+01|57825.1335|1.425E-02|2.621E-30|16|15|P|135
1067.4396|2.010E-01|3.848E+01|56369.3713|1.362E-02|5.109E-30|15|14|P|135
1088.2189|1.873E-01|3.799E+01|54888.0162|1.294E-02|1.002E-29|14|13|P|135
1109.0787|1.736E-01|3.727E+01|53380.9918|1.222E-02|1.979E-29|13|12|P|135
1130.0201|1.599E-01|3.631E+01|51848.2200|1.147E-02|3.928E-29|12|11|P|135
1151.0438|1.462E-01|3.509E+01|50289.6222|1.068E-02|7.834E-29|11|10|P|135
1164.2360|2.540E-01|6.316E+01|53175.4284|1.390E-02|2.576E-29|21|20|P|100
1172.1504|1.326E-01|3.360E+01|48705.1189|9.862E-03|1.568E-28|10| 9|P|135
1185.7484|2.425E-01|6.370E+01|51699.6990|1.352E-02|5.154E-29|20|19|P|100
1193.3399|1.190E-01|3.183E+01|47094.6307|9.012E-03|3.143E-28| 9| 8|P|135
1207.3354|2.307E-01|6.400E+01|50198.8523|1.310E-02|1.040E-28|19|18|P|100
1214.6120|1.055E-01|2.975E+01|45458.0782|8.131E-03|6.298E-28| 8| 7|P|135
1228.9994|2.189E-01|6.403E+01|48672.8133|1.264E-02|2.114E-28|18|17|P|100
1235.9662|9.205E-02|2.735E+01|43795.3826|7.220E-03|1.258E-27| 7| 6|P|135
1250.7424|2.068E-01|6.378E+01|47121.5049|1.216E-02|4.334E-28|17|16|P|100
1257.4018|7.869E-02|2.462E+01|42106.4659|6.280E-03|2.490E-27| 6| 5|P|135
1272.5657|1.947E-01|6.324E+01|45544.8484|1.165E-02|8.956E-28|16|15|P|100
1278.9177|6.542E-02|2.154E+01|40391.2511|5.310E-03|4.851E-27| 5| 4|P|135
1294.4704|1.825E-01|6.239E+01|43942.7635|1.111E-02|1.864E-27|15|14|P|100
1300.5126|5.221E-02|1.808E+01|38649.6626|4.310E-03|9.189E-27| 4| 3|P|135
1316.4573|1.703E-01|6.123E+01|42315.1695|1.054E-02|3.908E-27|14|13|P|100
1322.1850|3.908E-02|1.422E+01|36881.6266|3.279E-03|1.652E-26| 3| 2|P|135
1338.5266|1.580E-01|5.973E+01|40661.9850|9.945E-03|8.246E-27|13|12|P|100
1343.9332|2.600E-02|9.935E+00|35087.0708|2.218E-03|2.673E-26| 2| 1|P|135
1360.6786|1.458E-01|5.787E+01|38983.1285|9.325E-03|1.750E-26|12|11|P|100
1365.7550|1.298E-02|5.205E+00|33265.9252|1.125E-03|3.286E-26| 1| 0|P|135
1382.9128|1.335E-01|5.565E+01|37278.5186|8.680E-03|3.732E-26|11|10|P|100
1405.2289|1.213E-01|5.303E+01|35548.0746|8.011E-03|7.988E-26|10| 9|P|100
1427.6261|1.090E-01|5.000E+01|33791.7162|7.318E-03|1.713E-25| 9| 8|P|100
1450.1033|9.684E-02|4.654E+01|32009.3643|6.602E-03|3.673E-25| 8| 7|P|100
1472.6596|8.467E-02|4.262E+01|30200.9409|5.862E-03|7.846E-25| 7| 6|P|100
1495.2934|7.252E-02|3.821E+01|28366.3694|5.098E-03|1.662E-24| 6| 5|P|100
1518.0033|6.039E-02|3.329E+01|26505.5749|4.310E-03|3.466E-24| 5| 4|P|100
1540.7876|4.829E-02|2.784E+01|24618.4838|3.498E-03|7.024E-24| 4| 3|P|100
1558.5716|2.219E-01|1.351E+02|38576.6231|3.251E-03|8.145E-27|21|20|P| 20
1563.6446|3.620E-02|2.181E+01|22705.0248|2.661E-03|1.351E-23| 3| 2|P|100
1582.8651|2.125E-01|1.355E+02|36931.0393|3.162E-03|1.762E-26|20|19|P| 20
1586.5722|2.413E-02|1.519E+01|20765.1284|1.800E-03|2.339E-23| 2| 1|P|100
1607.2421|2.028E-01|1.354E+02|35260.3801|3.065E-03|3.845E-26|19|18|P| 20
1609.5683|1.206E-02|7.927E+00|18798.7272|9.128E-04|3.076E-23| 1| 0|P|100
1631.0344|2.170E-01|9.844E+01|37917.0909|1.664E-04|5.895E-28|21|20|R|  0
1631.7033|1.930E-01|1.349E+02|33564.5613|2.961E-03|8.463E-26|18|17|P| 20
1656.0615|2.081E-01|9.880E+01|36264.1752|1.620E-04|1.281E-27|20|19|R|  0
1656.2490|1.831E-01|1.338E+02|31843.4982|2.851E-03|1.878E-25|17|16|P| 20
1664.7655|1.727E-01|1.245E+02|64722.5752|1.838E-02|1.723E-31|21|20|R|135
1680.8794|1.730E-01|1.321E+02|30097.1061|2.734E-03|4.202E-25|16|15|P| 20
1681.1725|1.989E-01|9.879E+01|34586.1834|1.572E-04|2.806E-27|19|18|R|  0
1685.6921|2.129E-01|1.562E+02|38576.6231|3.543E-03|9.349E-27|21|20|R| 20
1694.8390|1.697E-01|1.291E+02|63393.7106|1.839E-02|3.298E-31|20|19|R|135
1705.5943|1.628E-01|1.299E+02|28325.3003|2.610E-03|9.474E-25|15|14|P| 20
1706.3680|1.896E-01|9.846E+01|32883.0311|1.521E-04|6.204E-27|18|17|R|  0
1711.4172|2.045E-01|1.570E+02|36931.0393|3.455E-03|2.027E-26|20|19|R| 20
1724.9636|1.658E-01|1.329E+02|62039.5983|1.828E-02|6.350E-31|19|18|R|135
1730.3932|1.524E-01|1.270E+02|26527.9968|2.480E-03|2.152E-24|14|13|P| 20
1731.6483|1.800E-01|9.771E+01|31154.6333|1.465E-04|1.383E-26|17|16|R|  0
1737.2259|1.958E-01|1.572E+02|35260.3801|3.358E-03|4.431E-26|19|18|R| 20
1739.4979|1.926E-01|1.581E+02|53175.4284|1.590E-02|3.898E-29|21|20|R|100
1755.1445|1.614E-01|1.364E+02|60660.1760|1.812E-02|1.233E-30|18|17|R|135
1755.2754|1.420E-01|1.235E+02|24705.1121|2.344E-03|4.919E-24|13|12|P| 20
1757.0135|1.703E-01|9.657E+01|29400.9052|1.407E-04|3.107E-26|16|15|R|  0
1763.1190|1.868E-01|1.568E+02|33564.5613|3.252E-03|9.772E-26|18|17|R| 20
1768.1119|1.870E-01|1.613E+02|51699.6990|1.570E-02|7.890E-29|20|19|R|100
1780.2401|1.315E-01|1.193E+02|22856.5636|2.202E-03|1.131E-23|12|11|P| 20
1782.4634|1.605E-01|9.500E+01|27621.7621|1.345E-04|7.035E-26|15|14|R|  0
1785.3860|1.562E-01|1.389E+02|59255.3776|1.783E-02|2.407E-30|17|16|R|135
1789.0967|1.777E-01|1.558E+02|31843.4982|3.138E-03|2.173E-25|17|16|R| 20
1796.7959|1.809E-01|1.637E+02|50198.8523|1.543E-02|1.610E-28|19|18|R|100
1805.2863|1.209E-01|1.144E+02|20982.2696|2.053E-03|2.615E-23|11|10|P| 20
1807.9975|1.505E-01|9.297E+01|25817.1199|1.279E-04|1.604E-25|14|13|R|  0
1815.1593|1.683E-01|1.542E+02|30097.1061|3.017E-03|4.870E-25|16|15|R| 20
1815.6922|1.505E-01|1.408E+02|57825.1335|1.748E-02|4.733E-30|16|15|R|135
1825.5527|1.743E-01|1.655E+02|48672.8133|1.511E-02|3.309E-28|18|17|R|100
1830.4127|1.103E-01|1.088E+02|19082.1499|1.898E-03|6.066E-23|10| 9|P| 20
1833.6151|1.404E-01|9.046E+01|23986.8951|1.210E-04|3.683E-25|13|12|R|  0
1841.3066|1.588E-01|1.519E+02|28325.3003|2.887E-03|1.100E-24|15|14|R| 20
1846.0663|1.443E-01|1.419E+02|56369.3713|1.704E-02|9.370E-30|15|14|R|135
1854.3848|1.673E-01|1.664E+02|47121.5049|1.473E-02|6.855E-28|17|16|R|100
1855.6181|9.955E-02|1.023E+02|17156.1253|1.737E-03|1.410E-22| 9| 8|P| 20
1859.3153|1.301E-01|8.745E+01|22131.0050|1.138E-04|8.506E-25|12|11|R|  0
1867.5382|1.491E-01|1.488E+02|26527.9968|2.750E-03|2.503E-24|14|13|R| 20
1876.5107|1.375E-01|1.419E+02|54888.0162|1.650E-02|1.865E-29|14|13|R|135
1880.9009|8.874E-02|9.497E+01|15204.1184|1.569E-03|3.276E-22| 8| 7|P| 20
1883.2941|1.599E-01|1.666E+02|45544.8484|1.430E-02|1.431E-27|16|15|R|100
