#Table: J/ApJS/95/535/./table9.dat (cdsarc.u-strasbg.fr)
------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|
1885.0970|1.198E-01|8.390E+01|20249.3682|1.062E-04|1.974E-24|11|10|R|  0
1893.8533|1.393E-01|1.449E+02|24705.1121|2.604E-03|5.731E-24|13|12|R| 20
1906.2597|7.787E-02|8.675E+01|13226.0530|1.396E-03|7.586E-22| 7| 6|P| 20
1907.0277|1.302E-01|1.411E+02|53380.9918|1.588E-02|3.735E-29|13|12|R|135
1910.9590|1.094E-01|7.980E+01|18341.9044|9.827E-05|4.600E-24|10| 9|R|  0
1912.2820|1.521E-01|1.659E+02|43942.7635|1.381E-02|3.008E-27|15|14|R|100
1920.2513|1.293E-01|1.402E+02|22856.5636|2.452E-03|1.320E-23|12|11|R| 20
1931.6928|6.693E-02|7.759E+01|11221.8547|1.216E-03|1.742E-21| 6| 5|P| 20
1936.8999|9.885E-02|7.509E+01|16408.5346|9.001E-05|1.074E-23| 9| 8|R|  0
1937.6187|1.225E-01|1.392E+02|51848.2200|1.517E-02|7.518E-29|12|11|R|135
1941.3495|1.439E-01|1.643E+02|42315.1695|1.327E-02|6.367E-27|14|13|R|100
1946.7309|1.192E-01|1.347E+02|20982.2696|2.291E-03|3.057E-23|11|10|R| 20
1957.1986|5.593E-02|6.744E+01| 9191.4507|1.029E-03|3.936E-21| 5| 4|P| 20
1962.9184|8.822E-02|6.975E+01|14449.1813|8.141E-05|2.505E-23| 8| 7|R|  0
1968.2849|1.143E-01|1.362E+02|50289.6222|1.438E-02|1.519E-28|11|10|R|135
1970.4972|1.354E-01|1.617E+02|40661.9850|1.267E-02|1.356E-26|13|12|R|100
1973.2910|1.090E-01|1.282E+02|19082.1499|2.123E-03|7.103E-23|10| 9|R| 20
1982.7754|4.486E-02|5.624E+01| 7134.7700|8.364E-04|8.644E-21| 4| 3|P| 20
1989.0128|7.750E-02|6.375E+01|12463.7686|7.247E-05|5.825E-23| 7| 6|R|  0
1999.0268|1.057E-01|1.319E+02|48705.1189|1.351E-02|3.080E-28|10| 9|R|135
1999.7252|1.266E-01|1.580E+02|38983.1285|1.203E-02|2.904E-26|12|11|R|100
1999.9303|9.858E-02|1.208E+02|17156.1253|1.946E-03|1.654E-22| 9| 8|R| 20
2008.4215|3.373E-02|4.395E+01| 5051.7432|6.369E-04|1.801E-20| 3| 2|P| 20
2015.1815|6.668E-02|5.705E+01|10452.2222|6.317E-05|1.343E-22| 6| 5|R|  0
2026.6473|8.808E-02|1.123E+02|15204.1184|1.762E-03|3.849E-22| 8| 7|R| 20
2029.0336|1.176E-01|1.532E+02|37278.5186|1.133E-02|6.248E-26|11|10|R|100
2029.8448|9.674E-02|1.264E+02|47094.6307|1.256E-02|6.252E-28| 9| 8|R|135
2034.1352|2.254E-02|3.051E+01| 2942.3028|4.311E-04|3.379E-20| 2| 1|P| 20
2041.4229|5.578E-02|4.961E+01| 8414.4693|5.353E-05|3.047E-22| 5| 4|R|  0
2053.4404|7.747E-02|1.027E+02|13226.0530|1.571E-03|8.926E-22| 7| 6|R| 20
2058.4218|1.082E-01|1.472E+02|35548.0746|1.057E-02|1.349E-25|10| 9|R|100
2059.9147|1.130E-02|1.588E+01|  806.3828|2.188E-04|4.811E-20| 1| 0|P| 20
2060.7387|8.739E-02|1.195E+02|45458.0782|1.151E-02|1.268E-27| 8| 7|R|135
2067.7353|4.479E-02|4.139E+01| 6350.4391|4.354E-05|6.719E-22| 4| 3|R|  0
2080.3080|6.674E-02|9.203E+01|11221.8547|1.371E-03|2.052E-21| 6| 5|R| 20
2087.8891|9.852E-02|1.399E+02|33791.7162|9.767E-03|2.917E-25| 9| 8|R|100
2091.7080|7.768E-02|1.111E+02|43795.3826|1.039E-02|2.562E-27| 7| 6|R|135
2094.1169|3.371E-02|3.236E+01| 4260.0622|3.319E-05|1.406E-21| 3| 2|R|  0
2107.2485|5.589E-02|8.010E+01| 9191.4507|1.163E-03|4.645E-21| 5| 4|R| 20
2117.4346|8.860E-02|1.312E+02|32009.3643|8.908E-03|6.306E-25| 8| 7|R|100
2120.5661|2.255E-02|2.248E+01| 2143.2711|2.248E-05|2.648E-21| 2| 1|R|  0
2122.7519|6.761E-02|1.010E+02|42106.4659|9.176E-03|5.131E-27| 6| 5|R|135
2134.2602|4.493E-02|6.690E+01| 7134.7700|9.467E-04|1.022E-20| 4| 3|R| 20
2147.0571|7.842E-02|1.211E+02|30200.9409|7.995E-03|1.358E-24| 7| 6|R|100
2147.0811|1.131E-02|1.170E+01|    0.0000|1.142E-05|3.786E-21| 1| 0|R|  0
2153.8693|5.720E-02|8.930E+01|40391.2511|7.878E-03|1.011E-26| 5| 4|R|135
2161.3412|3.385E-02|5.235E+01| 5051.7432|7.223E-04|2.132E-20| 3| 2|R| 20
2176.7551|6.798E-02|1.094E+02|28366.3694|7.026E-03|2.900E-24| 6| 5|R|100
2185.0587|4.645E-02|7.571E+01|38649.6626|6.490E-03|1.936E-26| 4| 3|R|135
2188.4899|2.267E-02|3.639E+01| 2942.3028|4.898E-04|4.004E-20| 2| 1|R| 20
2206.5271|5.729E-02|9.603E+01|26505.5749|6.002E-03|6.094E-24| 5| 4|R|100
2215.7044|1.138E-02|1.897E+01|  806.3828|2.490E-04|5.710E-20| 1| 0|R| 20
2216.3185|3.536E-02|6.014E+01|36881.6266|5.010E-03|3.518E-26| 3| 2|R|135
2236.3713|4.634E-02|8.088E+01|24618.4838|4.921E-03|1.244E-23| 4| 3|R|100
2247.6467|2.392E-02|4.243E+01|35087.0708|3.437E-03|5.753E-26| 2| 1|R|135
2266.2858|3.514E-02|6.382E+01|22705.0248|3.781E-03|2.412E-23| 3| 2|R|100
2279.0410|1.214E-02|2.244E+01|33265.9252|1.768E-03|7.143E-26| 1| 0|R|135
2296.2686|2.368E-02|4.474E+01|20765.1284|2.582E-03|4.206E-23| 2| 1|R|100
2326.3174|1.197E-02|2.352E+01|18798.7272|1.322E-03|5.570E-23| 1| 0|R|100
------------------------------------------------------------------------
