#Table: J/ApJS/95/535/./table13.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|    | I
         |         |         |          |         |         |  |  |y|    |so
         |         |         |          |         |         |  |  |p|    |to
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e|  Jl|pe
---------|---------|---------|----------|---------|---------|--|--|-|----|--
 849.8039|2.928E-01|2.827E+01|69999.5215|1.743E-02|7.914E-33|21|20|P| 149|26
 856.6729|2.918E-01|2.886E+01|69612.2062|1.739E-02|9.572E-33|21|20|P| 148|26
 857.0984|2.876E-01|2.849E+01|68948.3033|1.727E-02|1.265E-32|21|20|P| 149|27
 862.2408|2.837E-01|2.862E+01|68159.3991|1.714E-02|1.796E-32|21|20|P| 149|36
 863.2127|2.832E-01|2.866E+01|68005.3522|1.712E-02|1.925E-32|21|20|P| 149|28
 863.5241|2.908E-01|2.946E+01|69226.4014|1.735E-02|1.157E-32|21|20|P| 147|26
 863.7689|2.867E-01|2.907E+01|68567.4004|1.723E-02|1.524E-32|21|20|P| 148|27
 868.7648|2.828E-01|2.918E+01|67783.3560|1.709E-02|2.159E-32|21|20|P| 148|36
 868.8127|2.784E-01|2.873E+01|67081.4706|1.694E-02|2.895E-32|21|20|P| 149|37
 869.7017|2.801E-01|2.899E+01|68742.5046|1.706E-02|1.443E-32|20|19|P| 149|26
 869.7083|2.822E-01|2.921E+01|67630.2615|1.708E-02|2.312E-32|21|20|P| 148|28
 870.3576|2.899E-01|3.007E+01|68842.1295|1.732E-02|1.397E-32|21|20|P| 146|26
 870.4223|2.857E-01|2.965E+01|68188.0212|1.719E-02|1.836E-32|21|20|P| 147|27
 871.8550|2.760E-01|2.878E+01|66550.9300|1.686E-02|3.662E-32|21|20|P| 149|46
 874.2649|2.739E-01|2.879E+01|66114.3966|1.677E-02|4.438E-32|21|20|P| 149|38
 875.1398|2.775E-01|2.927E+01|66712.1271|1.690E-02|3.467E-32|21|20|P| 148|37
 875.2721|2.819E-01|2.974E+01|67408.8446|1.705E-02|2.593E-32|21|20|P| 147|36
 876.1873|2.813E-01|2.977E+01|67256.7040|1.703E-02|2.774E-32|21|20|P| 147|28
 876.5652|2.750E-01|2.914E+01|67690.8352|1.689E-02|2.302E-32|20|19|P| 149|27
 876.6022|2.791E-01|2.959E+01|68349.7991|1.703E-02|1.749E-32|20|19|P| 148|26
 877.0585|2.848E-01|3.023E+01|67810.1872|1.714E-02|2.208E-32|21|20|P| 146|27
 877.1731|2.889E-01|3.068E+01|68459.4130|1.727E-02|1.685E-32|21|20|P| 145|26
 878.0864|2.751E-01|2.931E+01|66184.9088|1.681E-02|4.377E-32|21|20|P| 148|46
 880.4184|2.730E-01|2.931E+01|65751.1194|1.672E-02|5.297E-32|21|20|P| 148|38
 881.3870|2.714E-01|2.923E+01|66901.9690|1.675E-02|3.267E-32|20|19|P| 149|36
 881.4507|2.766E-01|2.981E+01|66344.3238|1.685E-02|4.148E-32|21|20|P| 147|37
 881.7625|2.810E-01|3.031E+01|67035.8856|1.700E-02|3.111E-32|21|20|P| 146|36
 882.2966|2.706E-01|2.924E+01|66747.9649|1.672E-02|3.497E-32|20|19|P| 149|28
 882.6496|2.803E-01|3.033E+01|66884.7001|1.698E-02|3.327E-32|21|20|P| 146|28
 883.2664|2.741E-01|2.972E+01|67304.7549|1.684E-02|2.780E-32|20|19|P| 148|27
 883.4851|2.782E-01|3.018E+01|67958.6444|1.698E-02|2.118E-32|20|19|P| 147|26
 883.6774|2.839E-01|3.082E+01|67433.9195|1.710E-02|2.654E-32|21|20|P| 145|27
 883.9708|2.880E-01|3.130E+01|68078.2740|1.723E-02|2.030E-32|21|20|P| 144|26
 884.3020|2.742E-01|2.983E+01|65820.4310|1.676E-02|5.226E-32|21|20|P| 147|46
 886.5562|2.721E-01|2.983E+01|65389.3879|1.667E-02|6.316E-32|21|20|P| 147|38
 887.5247|2.659E-01|2.925E+01|65824.6024|1.653E-02|5.251E-32|20|19|P| 149|37
 887.7453|2.758E-01|3.036E+01|65978.0802|1.680E-02|4.958E-32|21|20|P| 146|37
 887.9409|2.704E-01|2.979E+01|66520.9037|1.671E-02|3.934E-32|20|19|P| 148|36
 888.2362|2.801E-01|3.088E+01|66664.4991|1.696E-02|3.728E-32|21|20|P| 145|36
 888.8220|2.697E-01|2.979E+01|66367.8820|1.668E-02|4.209E-32|20|19|P| 148|28
 889.0952|2.794E-01|3.090E+01|66514.2698|1.693E-02|3.985E-32|21|20|P| 145|28
 889.6568|2.672E-01|2.960E+01|67460.1424|1.665E-02|2.652E-32|19|18|P| 149|26
 889.9505|2.731E-01|3.029E+01|66920.2367|1.680E-02|3.355E-32|20|19|P| 147|27
 890.2790|2.830E-01|3.142E+01|67059.2389|1.705E-02|3.187E-32|21|20|P| 144|27
 890.3503|2.772E-01|3.079E+01|67569.0627|1.694E-02|2.563E-32|20|19|P| 146|26
 890.3548|2.636E-01|2.927E+01|65294.5540|1.644E-02|6.634E-32|20|19|P| 149|46
 890.5016|2.733E-01|3.037E+01|65457.5155|1.670E-02|6.235E-32|21|20|P| 146|46
 890.7505|2.870E-01|3.192E+01|67698.7344|1.719E-02|2.444E-32|21|20|P| 143|26
 892.5909|2.615E-01|2.925E+01|64858.5285|1.635E-02|8.033E-32|20|19|P| 149|38
 892.6783|2.712E-01|3.035E+01|65029.2202|1.662E-02|7.524E-32|21|20|P| 146|38
 893.8807|2.651E-01|2.979E+01|65450.4431|1.649E-02|6.301E-32|20|19|P| 148|37
 894.0237|2.749E-01|3.091E+01|65613.4154|1.675E-02|5.922E-32|21|20|P| 145|37
 894.4782|2.695E-01|3.035E+01|66141.4074|1.666E-02|4.733E-32|20|19|P| 147|36
 894.6929|2.792E-01|3.146E+01|66294.7053|1.691E-02|4.465E-32|21|20|P| 144|36
 895.3309|2.687E-01|3.035E+01|65989.3692|1.663E-02|5.061E-32|20|19|P| 147|28
 895.5239|2.785E-01|3.147E+01|66145.4332|1.688E-02|4.769E-32|21|20|P| 144|28
 896.0894|2.621E-01|2.968E+01|66408.6655|1.645E-02|4.223E-32|19|18|P| 149|27
 896.5895|2.662E-01|3.019E+01|67062.0549|1.660E-02|3.221E-32|19|18|P| 148|26
 896.6147|2.627E-01|2.979E+01|64923.8163|1.639E-02|7.945E-32|20|19|P| 148|46
 896.6174|2.722E-01|3.088E+01|66537.3020|1.675E-02|4.044E-32|20|19|P| 146|27
 896.6852|2.724E-01|3.090E+01|65096.1808|1.665E-02|7.433E-32|21|20|P| 145|46
 896.8631|2.820E-01|3.202E+01|66686.1663|1.701E-02|3.823E-32|21|20|P| 143|27
 897.1977|2.763E-01|3.140E+01|67181.0763|1.690E-02|3.098E-32|20|19|P| 145|26
 897.5122|2.861E-01|3.255E+01|67320.8160|1.714E-02|2.939E-32|21|20|P| 142|26
 898.7725|2.606E-01|2.977E+01|64490.6153|1.630E-02|9.606E-32|20|19|P| 148|38
 898.7847|2.703E-01|3.088E+01|64670.6346|1.656E-02|8.956E-32|21|20|P| 145|38
 900.2207|2.642E-01|3.033E+01|65077.8596|1.644E-02|7.554E-32|20|19|P| 147|37
 900.2858|2.740E-01|3.146E+01|65250.3483|1.670E-02|7.066E-32|21|20|P| 144|37
 900.5904|2.584E-01|2.969E+01|65620.3133|1.630E-02|5.979E-32|19|18|P| 149|36
 900.9987|2.686E-01|3.091E+01|65763.5004|1.661E-02|5.690E-32|20|19|P| 146|36
 901.1326|2.783E-01|3.204E+01|65926.5241|1.686E-02|5.342E-32|21|20|P| 143|36
 901.4377|2.576E-01|2.969E+01|65466.4443|1.627E-02|6.398E-32|19|18|P| 149|28
 901.8231|2.678E-01|3.091E+01|65612.4467|1.658E-02|6.081E-32|20|19|P| 146|28
 901.9358|2.775E-01|3.204E+01|65778.2099|1.683E-02|5.702E-32|21|20|P| 143|28
 902.8217|2.612E-01|3.024E+01|66017.4151|1.641E-02|5.110E-32|19|18|P| 148|27
 902.8528|2.715E-01|3.145E+01|64736.4453|1.660E-02|8.852E-32|21|20|P| 144|46
 902.8589|2.618E-01|3.032E+01|64554.6567|1.633E-02|9.506E-32|20|19|P| 147|46
