#Table: J/ApJS/95/535/./table14.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|    | I
         |         |         |          |         |         |  |  |y|    |so
         |         |         |          |         |         |  |  |p|    |to
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e|  Jl|pe
---------|---------|---------|----------|---------|---------|--|--|-|----|--
2061.6780|1.358E-02|1.873E+01|69999.5215|1.962E-03|1.671E-33|22|20|P| 149|26
2070.4999|1.298E-02|1.812E+01|68948.3033|1.882E-03|2.575E-33|22|20|P| 149|27
2073.9149|1.351E-02|1.896E+01|69612.2062|1.949E-03|2.006E-33|22|20|P| 148|26
2076.4018|1.254E-02|1.766E+01|68159.3991|1.823E-03|3.558E-33|22|20|P| 149|36
2077.4854|1.248E-02|1.761E+01|68005.3522|1.816E-03|3.799E-33|22|20|P| 149|28
2082.3256|1.291E-02|1.834E+01|68567.4004|1.870E-03|3.082E-33|22|20|P| 148|27
2083.4875|1.199E-02|1.706E+01|67081.4706|1.750E-03|5.543E-33|22|20|P| 149|37
2086.0935|1.343E-02|1.918E+01|69226.4014|1.936E-03|2.406E-33|22|20|P| 147|26
2086.5613|1.172E-02|1.675E+01|66550.9300|1.713E-03|6.886E-33|22|20|P| 149|46
2087.9257|1.247E-02|1.786E+01|67783.3560|1.812E-03|4.248E-33|22|20|P| 148|36
2088.8914|1.150E-02|1.650E+01|66114.3966|1.683E-03|8.229E-33|22|20|P| 149|38
2088.9511|1.241E-02|1.781E+01|67630.2615|1.804E-03|4.532E-33|22|20|P| 148|28
2094.0955|1.284E-02|1.855E+01|68188.0212|1.858E-03|3.685E-33|22|20|P| 147|27
2094.6082|1.193E-02|1.725E+01|66712.1271|1.739E-03|6.596E-33|22|20|P| 148|37
2097.4874|1.166E-02|1.694E+01|66184.9088|1.702E-03|8.181E-33|22|20|P| 148|46
2098.2141|1.336E-02|1.941E+01|68842.1295|1.923E-03|2.884E-33|22|20|P| 146|26
2099.3956|1.241E-02|1.807E+01|67408.8446|1.801E-03|5.068E-33|22|20|P| 147|36
2099.6591|1.145E-02|1.668E+01|65751.1194|1.673E-03|9.764E-33|22|20|P| 148|38
2100.3630|1.235E-02|1.800E+01|67256.7040|1.793E-03|5.403E-33|22|20|P| 147|28
2105.6772|1.187E-02|1.744E+01|66344.3238|1.728E-03|7.842E-33|22|20|P| 147|37
2105.8097|1.277E-02|1.877E+01|67810.1872|1.846E-03|4.403E-33|22|20|P| 146|27
2106.8209|1.194E-02|1.756E+01|68742.5046|1.762E-03|2.777E-33|21|19|P| 149|26
2108.3627|1.161E-02|1.712E+01|65820.4310|1.692E-03|9.711E-33|22|20|P| 147|46
2110.2765|1.328E-02|1.964E+01|68459.4130|1.911E-03|3.454E-33|22|20|P| 145|26
2110.3771|1.140E-02|1.686E+01|65389.3879|1.662E-03|1.158E-32|22|20|P| 147|38
2110.8114|1.235E-02|1.828E+01|67035.8856|1.789E-03|6.042E-33|22|20|P| 146|36
2111.7213|1.229E-02|1.820E+01|66884.7001|1.781E-03|6.436E-33|22|20|P| 146|28
2114.5665|1.145E-02|1.703E+01|67690.8352|1.696E-03|4.292E-33|21|19|P| 149|27
2116.6944|1.181E-02|1.763E+01|65978.0802|1.717E-03|9.316E-33|22|20|P| 146|37
2117.4682|1.271E-02|1.899E+01|67433.9195|1.834E-03|5.257E-33|22|20|P| 145|27
2119.0799|1.187E-02|1.778E+01|68349.7991|1.751E-03|3.343E-33|21|19|P| 148|26
2119.1875|1.156E-02|1.731E+01|65457.5155|1.681E-03|1.152E-32|22|20|P| 146|46
2119.6710|1.107E-02|1.659E+01|66901.9690|1.643E-03|5.932E-33|21|19|P| 149|36
2120.6000|1.100E-02|1.650E+01|66747.9649|1.634E-03|6.319E-33|21|19|P| 149|28
2121.0453|1.135E-02|1.704E+01|65029.2202|1.652E-03|1.371E-32|22|20|P| 146|38
2122.1733|1.229E-02|1.848E+01|66664.4991|1.778E-03|7.197E-33|22|20|P| 145|36
2122.2810|1.321E-02|1.987E+01|68078.2740|1.898E-03|4.133E-33|22|20|P| 144|26
2123.0260|1.222E-02|1.841E+01|66514.2698|1.769E-03|7.660E-33|22|20|P| 145|28
2125.6810|1.058E-02|1.599E+01|65824.6024|1.575E-03|9.224E-33|21|19|P| 149|37
2126.4145|1.139E-02|1.722E+01|67304.7549|1.685E-03|5.148E-33|21|19|P| 148|27
2127.6600|1.176E-02|1.782E+01|65613.4154|1.706E-03|1.106E-32|22|20|P| 145|37
2128.2310|1.035E-02|1.570E+01|65294.5540|1.543E-03|1.146E-32|21|19|P| 149|46
2129.0710|1.265E-02|1.920E+01|67059.2389|1.823E-03|6.271E-33|22|20|P| 144|27
2129.9616|1.150E-02|1.749E+01|65096.1808|1.670E-03|1.365E-32|22|20|P| 145|46
2130.1329|1.016E-02|1.545E+01|64858.5285|1.516E-03|1.369E-32|21|19|P| 149|38
2131.2171|1.101E-02|1.677E+01|66520.9037|1.633E-03|7.099E-33|21|19|P| 148|36
2131.2811|1.181E-02|1.799E+01|67958.6444|1.740E-03|4.020E-33|21|19|P| 147|26
2131.6639|1.130E-02|1.722E+01|64670.6346|1.642E-03|1.623E-32|22|20|P| 145|38
2132.0879|1.094E-02|1.669E+01|66367.8820|1.623E-03|7.558E-33|21|19|P| 148|28
2133.4812|1.223E-02|1.869E+01|66294.7053|1.767E-03|8.565E-33|22|20|P| 144|36
2134.2276|1.314E-02|2.010E+01|67698.7344|1.886E-03|4.941E-33|22|20|P| 143|26
2134.2771|1.216E-02|1.861E+01|66145.4332|1.757E-03|9.110E-33|22|20|P| 144|28
2136.8237|1.053E-02|1.616E+01|65450.4431|1.565E-03|1.100E-32|21|19|P| 148|37
2138.2068|1.133E-02|1.742E+01|66920.2367|1.674E-03|6.171E-33|21|19|P| 147|27
2138.5739|1.171E-02|1.802E+01|65250.3483|1.695E-03|1.312E-32|22|20|P| 144|37
2139.1789|1.030E-02|1.587E+01|64923.8163|1.533E-03|1.365E-32|21|19|P| 148|46
2140.6183|1.258E-02|1.942E+01|66686.1663|1.811E-03|7.474E-33|22|20|P| 143|27
2140.6852|1.145E-02|1.768E+01|64736.4453|1.660E-03|1.617E-32|22|20|P| 144|46
2140.9225|1.012E-02|1.562E+01|64490.6153|1.507E-03|1.628E-32|21|19|P| 148|38
2142.2327|1.125E-02|1.740E+01|64313.6490|1.631E-03|1.920E-32|22|20|P| 144|38
2142.7093|1.096E-02|1.696E+01|66141.4074|1.623E-03|8.488E-33|21|19|P| 147|36
2143.4244|1.175E-02|1.821E+01|67569.0627|1.729E-03|4.832E-33|21|19|P| 146|26
2143.5222|1.089E-02|1.687E+01|65989.3692|1.613E-03|9.033E-33|21|19|P| 147|28
2144.7353|1.218E-02|1.890E+01|65926.5241|1.756E-03|1.019E-32|22|20|P| 143|36
2145.4746|1.211E-02|1.881E+01|65778.2099|1.746E-03|1.083E-32|22|20|P| 143|28
2146.1162|1.307E-02|2.034E+01|67320.8160|1.873E-03|5.902E-33|22|20|P| 142|26
2147.9149|1.048E-02|1.634E+01|65077.8596|1.556E-03|1.311E-32|21|19|P| 147|37
2149.4362|1.165E-02|1.821E+01|64888.8979|1.684E-03|1.554E-32|22|20|P| 143|37
2149.9437|1.127E-02|1.762E+01|66537.3020|1.663E-03|7.390E-33|21|19|P| 146|27
2150.0764|1.026E-02|1.604E+01|64554.6567|1.524E-03|1.624E-32|21|19|P| 147|46
2151.3583|1.140E-02|1.787E+01|64378.3274|1.649E-03|1.913E-32|22|20|P| 143|46
2151.6624|1.007E-02|1.579E+01|64124.2816|1.498E-03|1.935E-32|21|19|P| 147|38
2152.0639|1.046E-02|1.640E+01|67460.1424|1.577E-03|4.654E-33|20|18|P| 149|26
2152.1100|1.252E-02|1.964E+01|66314.7224|1.799E-03|8.901E-33|22|20|P| 142|27
2152.7519|1.120E-02|1.759E+01|63958.2815|1.621E-03|2.268E-32|22|20|P| 143|38
2154.1477|1.091E-02|1.715E+01|65763.5004|1.612E-03|1.014E-32|21|19|P| 146|36
2154.9030|1.084E-02|1.706E+01|65612.4467|1.603E-03|1.079E-32|21|19|P| 146|28
