#Table: J/ApJS/95/535/./table12.dat (cdsarc.u-strasbg.fr)
----------------------------------------------------------------------------
         |         |         |          |         |         |  |  |T|    | I
         |         |         |          |         |         |  |  |y|    |so
         |         |         |          |         |         |  |  |p|    |to
    sigma|       R2|        A|         E|  log(gf)|        S|vu|vl|e|  Jl|pe
---------|---------|---------|----------|---------|---------|--|--|-|----|--
   3.3413|8.383E-05|3.269E-10| 9978.5056|1.317E-10|7.714E-34| 5| 5|R|   0|38
   3.3716|2.236E-04|8.960E-10| 8030.6787|3.544E-10|3.454E-32| 4| 4|R|   0|38
   3.3775|9.790E-05|3.943E-10|10031.7165|1.554E-10|8.629E-34| 5| 5|R|   0|46
   3.4019|1.520E-03|6.256E-09| 6058.9737|2.431E-09|4.079E-30| 3| 3|R|   0|38
   3.4083|2.059E-04|8.523E-10| 8073.7764|3.299E-10|3.091E-32| 4| 4|R|   0|46
   3.4217|1.165E-04|4.879E-10|10096.4045|1.874E-10|9.740E-34| 5| 5|R|   0|37
   3.4322|3.964E-03|1.675E-08| 4063.3308|6.396E-09|1.912E-28| 2| 2|R|   0|38
   3.4391|1.484E-03|6.309E-09| 6091.6946|2.399E-09|3.928E-30| 3| 3|R|   0|46
   3.4531|1.854E-04|7.982E-10| 8126.1738|3.010E-10|2.688E-32| 4| 4|R|   0|37
   3.4625|7.548E-03|3.276E-08| 2043.6919|1.229E-08|6.774E-27| 1| 1|R|   0|38
   3.4699|3.922E-03|1.713E-08| 4085.4105|6.397E-09|1.895E-28| 2| 2|R|   0|46
   3.4845|1.440E-03|6.370E-09| 6131.4792|2.359E-09|3.750E-30| 3| 3|R|   0|37
   3.4928|1.227E-02|5.465E-08|    0.0000|2.015E-08|2.120E-25| 0| 0|R|   0|38
   3.4993|1.527E-04|6.841E-10|10209.0426|2.512E-10|1.164E-33| 5| 5|R|   0|28
   3.5007|7.513E-03|3.370E-08| 2054.8649|1.236E-08|6.863E-27| 1| 1|R|   0|46
   3.5124|1.593E-04|7.214E-10|10227.8102|2.630E-10|1.195E-33| 5| 5|R|   0|36
   3.5159|3.871E-03|1.759E-08| 4112.2588|6.398E-09|1.875E-28| 2| 2|R|   0|37
   3.5315|1.225E-02|5.642E-08|    0.0000|2.034E-08|2.191E-25| 0| 0|R|   0|46
   3.5318|1.523E-04|7.013E-10| 8217.4219|2.528E-10|2.076E-32| 4| 4|R|   0|28
   3.5451|1.470E-04|6.848E-10| 8232.6269|2.450E-10|1.984E-32| 4| 4|R|   0|36
   3.5473|7.471E-03|3.486E-08| 2068.4520|1.246E-08|6.971E-27| 1| 1|R|   0|37
   3.5644|1.366E-03|6.466E-09| 6200.7707|2.289E-09|3.452E-30| 3| 3|R|   0|28
   3.5778|1.354E-03|6.480E-09| 6212.3181|2.277E-09|3.404E-30| 3| 3|R|   0|36
   3.5788|1.223E-02|5.862E-08|    0.0000|2.058E-08|2.278E-25| 0| 0|R|   0|37
   3.5795|1.948E-04|9.342E-10|10324.0086|3.279E-10|1.350E-33| 5| 5|R|   0|27
   3.5969|3.783E-03|1.841E-08| 4159.0249|6.397E-09|1.838E-28| 2| 2|R|   0|28
   3.6105|3.769E-03|1.854E-08| 4166.8191|6.397E-09|1.831E-28| 2| 2|R|   0|36
   3.6132|1.217E-04|6.003E-10| 8310.5703|2.068E-10|1.557E-32| 4| 4|R|   0|27
   3.6294|7.397E-03|3.697E-08| 2092.1217|1.262E-08|7.158E-27| 1| 1|R|   0|28
   3.6432|7.385E-03|3.733E-08| 2096.0669|1.265E-08|7.189E-27| 1| 1|R|   0|36
   3.6469|1.292E-03|6.550E-09| 6271.5160|2.215E-09|3.165E-30| 3| 3|R|   0|27
   3.6619|1.220E-02|6.264E-08|    0.0000|2.101E-08|2.439E-25| 0| 0|R|   0|28
   3.6700|2.492E-04|1.288E-09|10452.2222|4.299E-10|1.551E-33| 5| 5|R|   0|26
   3.6759|1.220E-02|6.333E-08|    0.0000|2.108E-08|2.466E-25| 0| 0|R|   0|36
   3.6805|3.695E-03|1.926E-08| 4206.7792|6.393E-09|1.798E-28| 2| 2|R|   0|27
   3.7050|9.089E-05|4.832E-10| 8414.4693|1.583E-10|1.082E-32| 4| 4|R|   0|26
   3.7142|7.322E-03|3.922E-08| 2116.2950|1.279E-08|7.347E-27| 1| 1|R|   0|27
   3.7400|1.209E-03|6.610E-09| 6350.4391|2.125E-09|2.857E-30| 3| 3|R|   0|26
   3.7479|1.217E-02|6.697E-08|    0.0000|2.144E-08|2.612E-25| 0| 0|R|   0|27
   3.7750|3.591E-03|2.020E-08| 4260.0622|6.373E-09|1.751E-28| 2| 2|R|   0|26
   3.8100|7.231E-03|4.181E-08| 2143.2711|1.295E-08|7.548E-27| 1| 1|R|   0|26
   3.8450|1.212E-02|7.204E-08|    0.0000|2.191E-08|2.815E-25| 0| 0|R|   0|26
   6.6825|8.442E-05|3.160E-09| 9981.8469|5.304E-10|6.170E-33| 5| 5|R|   1|38
   6.7431|2.227E-04|8.564E-09| 8034.0503|1.412E-09|2.731E-31| 4| 4|R|   1|38
   6.7549|9.855E-05|3.810E-09|10035.0940|6.259E-10|6.898E-33| 5| 5|R|   1|46
   6.8037|1.518E-03|5.996E-08| 6062.3756|9.708E-09|3.234E-29| 3| 3|R|   1|38
   6.8164|2.050E-04|8.145E-09| 8077.1846|1.314E-09|2.444E-31| 4| 4|R|   1|46
   6.8432|1.172E-04|4.712E-09|10099.8262|7.542E-10|7.782E-33| 5| 5|R|   1|37
   6.8643|3.960E-03|1.607E-07| 4066.7630|2.556E-08|1.517E-27| 2| 2|R|   1|38
   6.8780|1.481E-03|6.046E-08| 6095.1337|9.580E-09|3.114E-29| 3| 3|R|   1|46
   6.9060|1.845E-04|7.625E-09| 8129.6269|1.198E-09|2.124E-31| 4| 4|R|   1|37
   6.9249|7.543E-03|3.142E-07| 2047.1544|4.911E-08|5.375E-26| 1| 1|R|   1|38
   6.9396|3.918E-03|1.643E-07| 4088.8804|2.556E-08|1.503E-27| 2| 2|R|   1|46
   6.9689|1.438E-03|6.104E-08| 6134.9637|9.420E-09|2.972E-29| 3| 3|R|   1|37
   6.9855|1.226E-02|5.244E-07|    3.4928|8.054E-08|1.682E-24| 0| 0|R|   1|38
   6.9985|1.536E-04|6.603E-09|10212.5420|1.010E-09|9.293E-33| 5| 5|R|   1|28
   7.0012|7.508E-03|3.232E-07| 2058.3656|4.942E-08|5.445E-26| 1| 1|R|   1|46
   7.0246|1.601E-04|6.962E-09|10231.3225|1.057E-09|9.541E-33| 5| 5|R|   1|36
   7.0317|3.867E-03|1.687E-07| 4115.7747|2.557E-08|1.487E-27| 2| 2|R|   1|37
   7.0628|1.225E-02|5.413E-07|    3.5315|8.133E-08|1.738E-24| 0| 0|R|   1|46
   7.0635|1.514E-04|6.695E-09| 8220.9538|1.006E-09|1.639E-31| 4| 4|R|   1|28
   7.0900|1.462E-04|6.537E-09| 8236.1720|9.746E-10|1.566E-31| 4| 4|R|   1|36
   7.0946|7.465E-03|3.344E-07| 2071.9994|4.980E-08|5.530E-26| 1| 1|R|   1|37
   7.1286|1.363E-03|6.196E-08| 6204.3351|9.138E-09|2.736E-29| 3| 3|R|   1|28
   7.1554|1.351E-03|6.210E-08| 6215.8959|9.090E-09|2.697E-29| 3| 3|R|   1|36
   7.1574|1.223E-02|5.624E-07|    3.5788|8.228E-08|1.808E-24| 0| 0|R|   1|37
   7.1589|1.958E-04|9.012E-09|10327.5881|1.318E-09|1.077E-32| 5| 5|R|   1|27
   7.1936|3.779E-03|1.765E-07| 4162.6218|2.556E-08|1.457E-27| 2| 2|R|   1|28
   7.2208|3.765E-03|1.778E-07| 4170.4296|2.556E-08|1.452E-27| 2| 2|R|   1|36
   7.2262|1.210E-04|5.727E-09| 8314.1834|8.220E-10|1.229E-31| 4| 4|R|   1|27
   7.2587|7.392E-03|3.546E-07| 2095.7511|5.045E-08|5.677E-26| 1| 1|R|   1|28
   7.2863|7.379E-03|3.581E-07| 2099.7101|5.055E-08|5.701E-26| 1| 1|R|   1|36
   7.2936|1.289E-03|6.276E-08| 6275.1628|8.842E-09|2.507E-29| 3| 3|R|   1|27
