wno(vac) wavel(air) v  v Branch N" noINmeanVALUE
27445.9840  3642.527  0  0 R1  138  1
27445.9840  3642.527  0  0 R2  138  1
27443.8070  3642.816 10  9 P1    9  1
27442.7230  3642.960 10  9 P2    9  1
27439.7010  3643.361 10  9 P1   10  1
27438.6500  3643.501 10  9 P2   10  1
27435.5185  3643.916 10  9 P1   11  2
27434.5715  3644.042 10  9 P2   11  2
27431.2940  3644.478 10  9 P1   12  2
27430.3175  3644.607 10  9 P2   12  2
27429.5350  3644.711  0  0 R1  137  1
27429.5350  3644.711  0  0 R2  137  1
27427.0010  3645.048 10  9 P1   13  2
27426.0655  3645.172 10  9 P2   13  2
27422.5940  3645.634 10  9 P1   14  1
27421.6860  3645.755 10  9 P2   14  1
27418.1410  3646.226 10  9 P1   15  2
27417.2790  3646.341 10  9 P2   15  2
27413.6340  3646.825 10  9 P1   16  2
27413.0530  3646.903  0  0 R1  136  1
27413.0530  3646.903  0  0 R2  136  1
27412.7810  3646.939 10  9 P2   16  1
27409.0490  3647.435 10  9 P1   17  2
27408.2150  3647.546 10  9 P2   17  1
27404.3810  3648.057 10  9 P1   18  2
27403.5975  3648.161 10  9 P2   18  2
27399.6730  3648.684 10  9 P1   19  2
27398.8545  3648.793 10  9 P2   19  2
27396.5800  3649.095  0  0 R1  135  1
27396.5800  3649.095  0  0 R2  135  1
27394.8115  3649.331 10  9 P1   20  2
27394.0585  3649.431 10  9 P2   20  2
27389.9495  3649.979 10  9 P1   21  2
27389.1990  3650.079 10  9 P2   21  2
27384.9785  3650.641 10  9 P1   22  2
27384.2270  3650.742 10  9 P2   22  1
27379.9670  3651.310  0  0 R1  134  1
27379.9670  3651.310  0  0 R2  134  1
27379.2950  3651.399 10  9 P2   23  1
27374.7910  3652.000 10  9 P1   24  1
27374.1190  3652.090 10  9 P2   24  1
27369.5530  3652.699 10  9 P1   25  1
27368.8930  3652.787 10  9 P2   25  1
27364.2230  3653.410 10  9 P1   26  1
27363.5060  3653.506  0  0 R1  133  1
27363.5060  3653.506  0  0 R2  133  1
27347.8670  3655.595 10  9 P1   29  1
27346.9180  3655.722  0  0 R1  132  1
27346.9180  3655.722  0  0 R2  132  1
27342.2170  3656.351 10  9 P1   30  1
27341.5470  3656.440 10  9 P2   30  1
27340.1040  3656.633  1  1 R1  134  1
27340.1040  3656.633  1  1 R2  134  1
27336.4510  3657.122 10  9 P1   31  1
27335.9410  3657.190 10  9 P2   31  1
27330.2300  3657.954  0  0 R1  131  1
27330.2300  3657.954  0  0 R2  131  1
27326.4670  3658.458  1  1 R1  133  1
27326.4670  3658.458  1  1 R2  133  1
27324.6930  3658.696 10  9 P1   33  1
27324.0290  3658.785 10  9 P2   33  1
27322.5800  3658.979 11 10 R1   19  2
27322.4950  3658.990 11 10 R2   19  2
27322.3590  3659.008  2  2 R1  142  1
27322.3590  3659.008  2  2 R2  142  1
27321.2625  3659.155 11 10 R1   18  2
27321.1640  3659.168 11 10 R2   18  2
27319.7380  3659.359 11 10 R1   17  1
27319.7380  3659.359 11 10 R2   17  1
27318.5060  3659.524 10  9 R1   34  1
27318.3240  3659.549 11 10 R1   16  1
27318.1370  3659.574 11 10 R2   16  1
27318.0920  3659.580 10  9 R2   34  1
27316.6375  3659.775 11 10 R1   15  2
27316.5400  3659.788 11 10 R2   15  2
27314.7715  3660.025 11 10 R1   14  2
27314.6760  3660.037 11 10 R2   14  2
27313.7640  3660.160  0  0 R1  130  1
27313.5370  3660.190  0  0 R2  130  1
27312.9790  3660.265 11 10 R1   13  1
27312.7930  3660.290 11 10 R2   13  1
27312.7480  3660.296  1  1 R1  132  1
27312.7480  3660.296  1  1 R2  132  1
27310.9355  3660.539 11 10 R1   12  2
27310.8450  3660.551 11 10 R2   12  2
27308.8485  3660.818 11 10 R1   11  2
27308.7585  3660.831 11 10 R2   11  2
27307.3570  3661.018  2  2 R1  140  1
27307.3570  3661.018  2  2 R2  140  1
27306.6480  3661.113 11 10 R1   10  1
27306.4840  3661.135 11 10 R2   10  1
27306.1540  3661.180 10  9 P1   36  1
27305.7210  3661.238 10  9 P2   36  1
27304.3360  3661.423 11 10 R1    9  2
27304.2580  3661.434 11 10 R2    9  2
27301.8950  3661.751 11 10 R1    8  1
27301.7480  3661.771 11 10 R2    8  1
27299.3590  3662.091 11 10 R1    7  1
27299.2250  3662.109 11 10 R2    7  1
27297.0450  3662.401  0  0 R1  129  1
27296.8380  3662.429  0  0 R2  129  1
27296.7230  3662.445 11 10 R1    6  1
27296.6020  3662.461 11 10 R2    6  1
27293.9820  3662.812 11 10 R1    5  1
27293.8750  3662.827 11 10 R2    5  1
27293.3260  3662.900 10  9 P1   38  1
27292.9060  3662.957 10  9 P2   38  1
27291.5370  3663.141  2  2 R1  138  1
27291.5370  3663.141  2  2 R2  138  1
27291.1410  3663.194 11 10 R1    4  1
27291.0470  3663.206 11 10 R2    4  1
27288.1640  3663.593 11 10 R1    3  1
27288.1640  3663.593 11 10 R2    3  1
27286.6910  3663.791 10  9 P1   39  1
27286.3710  3663.834 10  9 P2   39  1
27285.2210  3663.989  1  1 R1  130  1
27285.2210  3663.989  1  1 R2  130  1
27285.1330  3664.000 11 10 R1    2  1
27285.1330  3664.000 11 10 R2    2  1
27282.9860  3664.289  2  2 R1  137  1
27282.9860  3664.289  2  2 R2  137  1
27282.0020  3664.421 11 10 R1    1  1
27282.0020  3664.421 11 10 R2    1  1
27280.3440  3664.644  0  0 R1  128  1
27280.1270  3664.673  0  0 R2  128  1
27274.2620  3665.461  2  2 R1  136  1
27274.2620  3665.461  2  2 R2  136  1
27272.9260  3665.640 10  9 P1   41  1
27272.9260  3665.640 10  9 P2   41  1
27272.0080  3665.764 11 10 P1    1  1
27272.0080  3665.764 11 10 P2    1  1
27271.4690  3665.836  1  1 R1  129  1
27271.2830  3665.861  1  1 R2  129  1
27268.4820  3666.238 11 10 P1    2  1
27268.4820  3666.238 11 10 P2    2  1
27265.9670  3666.576 10  9 P1   42  1
27265.9670  3666.576 10  9 P2   42  1
27265.1310  3666.688  2  2 R1  135  1
27265.1310  3666.688  2  2 R2  135  1
27264.8570  3666.725 11 10 P1    3  1
27264.8570  3666.725 11 10 P2    3  1
27263.7250  3666.877  0  0 R1  127  1
27263.4490  3666.914  0  0 R2  127  1
27261.1370  3667.225 11 10 P1    4  1
27261.1370  3667.225 11 10 P2    4  1
27259.0720  3667.503 10  9 P1   43  1
27258.8160  3667.538 10  9 P2   43  1
27257.3340  3667.737  1  1 R1  128  1
27257.3340  3667.737  1  1 R2  128  1
27257.3180  3667.739 11 10 P1    5  1
27257.3180  3667.739 11 10 P2    5  1
27255.9000  3667.930  2  2 R1  134  1
27255.7600  3667.949  2  2 R2  134  1
27253.4410  3668.261 11 10 P1    6  1
27253.3610  3668.272 11 10 P2    6  1
27249.4260  3668.802 11 10 P1    7  1
27249.3260  3668.815 11 10 P2    7  1
27247.0290  3669.124  0  0 R1  126  1
27246.7460  3669.162  0  0 R2  126  1
27246.2360  3669.231  2  2 R1  133  1
27246.2360  3669.231  2  2 R2  133  1
27245.3180  3669.355 11 10 P1    8  1
27245.2070  3669.370 11 10 P2    8  1
27243.4450  3669.607  1  1 R1  127  1
27243.1580  3669.646  1  1 R2  127  1
27241.1110  3669.921 11 10 P1    9  1
27240.9860  3669.938 11 10 P2    9  1
27236.8010  3670.502 11 10 P1   10  1
27236.6660  3670.520 11 10 P2   10  1
27236.5180  3670.540  2  2 R1  132  1
27236.5180  3670.540  2  2 R2  132  1
27235.9120  3670.622 10  9 P1   46  1
27235.5180  3670.675 10  9 P2   46  1
27232.3555  3671.101 11 10 P1   11  2
27232.2820  3671.111 11 10 P2   11  2
27230.4080  3671.364  0  0 R1  125  1
27230.1170  3671.403  0  0 R2  125  1
27229.2420  3671.521  1  1 R1  126  1
27228.9630  3671.559  1  1 R2  126  1
27227.8810  3671.705 11 10 P1   12  1
27227.7230  3671.726 11 10 P2   12  1
27226.6500  3671.871  2  2 R1  131  1
27226.4590  3671.896  2  2 R2  131  1
27223.2280  3672.332 11 10 P1   13  2
27223.1460  3672.343 11 10 P2   13  2
27218.5430  3672.964 11 10 P1   14  1
27218.3750  3672.987 11 10 P2   14  1
27216.2010  3673.280  2  2 R1  130  1
27216.2010  3673.280  2  2 R2  130  1
27215.1210  3673.426  1  1 R1  125  1
27214.8360  3673.465  1  1 R2  125  1
27213.7250  3673.615 11 10 P1   15  1
27213.6910  3673.619  0  0 R1  124  1
27213.5490  3673.638 11 10 P2   15  1
27213.3890  3673.660  0  0 R2  124  1
27208.7430  3674.287 11 10 P1   16  2
27208.6560  3674.299 11 10 P2   16  2
27205.8300  3674.681  2  2 R1  129  1
27205.8300  3674.681  2  2 R2  129  1
27203.7470  3674.962 11 10 P1   17  2
27203.6600  3674.974 11 10 P2   17  2
27200.8030  3675.360  1  1 R1  124  1
27200.4750  3675.404  1  1 R2  124  1
27198.5730  3675.661 11 10 P1   18  2
27198.4870  3675.673 11 10 P2   18  2
27197.0720  3675.864  0  0 R1  123  1
27196.7600  3675.906  0  0 R2  123  1
27193.3210  3676.371 11 10 P1   19  2
27193.2325  3676.383 11 10 P2   19  2
27187.9745  3677.094 11 10 P1   20  2
27187.8895  3677.105 11 10 P2   20  2
27186.5250  3677.290  1  1 R1  123  1
27186.2090  3677.333  1  1 R2  123  1
27184.6110  3677.549  2  2 R1  127  1
27184.3180  3677.589  2  2 R2  127  1
27182.5420  3677.829 11 10 P1   21  2
27182.3625  3677.853 11 10 P2   21  2
27180.4300  3678.115  0  0 R1  122  1
27180.1050  3678.159  0  0 R2  122  1
27176.8160  3678.604 11 10 P1   22  1
27176.8160  3678.604 11 10 P2   22  1
27173.8120  3679.010  2  2 R1  126  1
27173.5120  3679.051  2  2 R2  126  1
27172.2010  3679.228  1  1 R1  122  1
27171.8590  3679.275  1  1 R2  122  1
27171.1270  3679.374 11 10 P1   23  1
27171.1270  3679.374 11 10 P2   23  1
27165.3280  3680.159 11 10 P1   24  1
27165.3280  3680.159 11 10 P2   24  1
27163.8050  3680.366  0  0 R1  121  1
27163.4750  3680.410  0  0 R2  121  1
27162.7210  3680.513  2  2 R1  125  1
27162.4240  3680.553  2  2 R2  125  1
27159.4320  3680.958 11 10 P1   25  1
27159.4320  3680.958 11 10 P2   25  1
27157.7320  3681.189  1  1 R1  121  1
27157.3790  3681.237  1  1 R2  121  1
27153.1840  3681.805  2  2 R1  124  1
27150.1580  3682.216  2  2 R2  124  1
27147.1990  3682.617  0  0 R1  120  1
27146.8630  3682.663  0  0 R2  120  1
27143.3140  3683.144  1  1 R1  120  1
27142.9710  3683.191  1  1 R2  120  1
27140.8360  3683.480 11 10 P1   28  1
27140.8360  3683.480 11 10 P2   28  1
27140.1270  3683.577  2  2 R1  123  1
27139.8070  3683.620  2  2 R2  123  1
27134.2930  3684.369 11 10 P1   29  1
27134.2930  3684.369 11 10 P2   29  1
27130.6270  3684.866  0  0 R1  119  1
27130.2750  3684.914  0  0 R2  119  1
27128.8010  3685.114  1  1 R1  119  1
27128.4550  3685.161  1  1 R2  119  1
27124.0210  3685.764  3  3 R1  135  1
27124.0210  3685.764  3  3 R2  135  1
27121.9140  3686.050 11 10 P1   31  1
27120.9320  3686.184 11 10 P2   31  1
27117.1230  3686.701  2  2 R1  121  1
27116.7770  3686.748  2  2 R2  121  1
27115.2170  3686.961  3  3 R1  133  1
27115.2170  3686.961  3  3 R2  133  1
27110.3090  3687.628  3  3 R1  132  1
27110.3090  3687.628  3  3 R2  132  1
27105.4530  3688.289  2  2 R1  120  1
27105.0550  3688.343  2  2 R2  120  1
27099.8750  3689.048  1  1 R1  117  1
27099.4630  3689.104  1  1 R2  117  1
27097.5490  3689.365  0  0 R1  117  1
27097.1800  3689.415  0  0 R2  117  1
27093.6820  3689.891  2  2 R1  119  1
27093.2700  3689.947  2  2 R2  119  1
27087.1250  3690.784  3  3 R1  128  1
27086.9060  3690.814  3  3 R2  128  1
27085.3670  3691.024  1  1 R1  116  1
27084.9710  3691.078  1  1 R2  116  1
27081.7660  3691.515  2  2 R1  118  1
27081.0760  3691.609  0  0 R1  116  1
27080.6760  3691.663  0  0 R2  116  1
27073.9260  3692.584  3  3 R1  126  1
27073.6110  3692.627  3  3 R2  126  1
27070.8320  3693.006  1  1 R1  115  1
27070.4280  3693.061  1  1 R2  115  1
27069.8770  3693.136  2  2 R1  117  1
27069.4840  3693.190  2  2 R2  117  1
27068.6640  3693.301 12 11 R2   10  1
27067.1600  3693.507 12 11 R1    9  1
27066.8380  3693.551 12 11 R2    9  1
27066.2890  3693.626  3  3 R1  125  1
27066.2890  3693.626  3  3 R2  125  1
27065.0860  3693.790 12 11 R1    8  1
27064.8340  3693.824 12 11 R2    8  1
27064.6230  3693.853  0  0 R1  115  1
27064.2380  3693.905  0  0 R2  115  1
27062.8930  3694.089 12 11 R1    7  1
27062.6800  3694.118 12 11 R2    7  1
27060.5490  3694.409 12 11 R1    6  1
27060.3770  3694.433 12 11 R2    6  1
27059.1290  3694.603  3  3 R1  124  1
27058.8770  3694.637  3  3 R2  124  1
27058.0760  3694.747 12 11 R1    5  1
27057.9430  3694.765 12 11 R2    5  1
27057.5270  3694.822  2  2 R1  116  1
27057.2010  3694.866  2  2 R2  116  1
27056.3050  3694.989  1  1 R1  114  1
27055.9000  3695.044  1  1 R2  114  1
27055.4730  3695.102 12 11 R1    4  1
27055.3610  3695.117 12 11 R2    4  1
27052.6890  3695.482 12 11 R1    3  1
27052.6890  3695.482 12 11 R2    3  1
27051.4860  3695.647  3  3 R1  123  1
27051.1500  3695.693  3  3 R2  123  1
27049.8220  3695.874 12 11 R1    2  1
27049.8220  3695.874 12 11 R2    2  1
27048.2270  3696.092  0  0 R1  114  1
27047.8340  3696.146  0  0 R2  114  1
27046.8260  3696.283 12 11 R1    1  1
27046.8260  3696.283 12 11 R2    1  1
27045.5960  3696.452  2  2 R1  115  1
27045.1880  3696.507  2  2 R2  115  1
27043.7620  3696.702  3  3 R1  122  1
27043.3630  3696.757  3  3 R2  122  1
27041.8790  3696.960  1  1 R1  113  1
27041.4710  3697.015  1  1 R2  113  1
27037.0510  3697.620 12 11 P1    1  1
27037.0510  3697.620 12 11 P2    1  1
27035.6540  3697.811  3  3 R1  121  1
27035.3360  3697.854  3  3 R2  121  1
27033.5200  3698.103 12 11 P1    2  1
27033.5200  3698.103 12 11 P2    2  1
27033.4360  3698.114  2  2 R1  114  1
27033.0080  3698.173  2  2 R2  114  1
27031.8650  3698.329  0  0 R1  113  1
27031.4670  3698.384  0  0 R2  113  1
27029.8670  3698.603 12 11 P1    3  1
27029.8670  3698.603 12 11 P2    3  1
27027.1840  3698.970  1  1 R1  112  1
27026.7640  3699.027  1  1 R2  112  1
27026.1460  3699.112 12 11 P1    4  1
27026.0590  3699.124 12 11 P2    4  1
27022.2340  3699.647 12 11 P1    5  1
27022.1350  3699.661 12 11 P2    5  1
27021.2070  3699.788  2  2 R1  113  1
27020.7730  3699.847  2  2 R2  113  1
27018.1910  3700.201 12 11 P1    6  1
27018.0640  3700.218 12 11 P2    6  1
27017.1350  3700.346  3  3 R1  119  1
27016.0450  3700.495  3  3 R2  119  1
27015.5550  3700.562  0  0 R1  112  1
27015.1450  3700.618  0  0 R2  112  1
27014.0270  3700.771 12 11 P1    7  1
27013.8670  3700.793 12 11 P2    7  1
27012.6760  3700.956  1  1 R1  111  1
27012.2480  3701.015  1  1 R2  111  1
27010.1780  3701.299  3  3 R1  118  1
27009.8030  3701.350  3  3 R2  118  1
27009.7420  3701.358 12 11 P1    8  1
27009.5310  3701.387 12 11 P2    8  1
27008.9180  3701.471  2  2 R1  112  1
27008.4730  3701.532  2  2 R2  112  1
27005.3240  3701.964 12 11 P1    9  1
27005.0550  3702.001 12 11 P2    9  1
27001.3400  3702.510  3  3 R1  117  1
27001.3400  3702.510  3  3 R2  117  1
27000.7810  3702.587 12 11 P1   10  1
27000.4430  3702.633 12 11 P2   10  1
26999.2870  3702.792  0  0 R1  111  1
26998.8790  3702.848  0  0 R2  111  1
26998.1560  3702.947  1  1 R1  110  1
26997.7230  3703.006  1  1 R2  110  1
26996.5940  3703.161  2  2 R1  111  1
26996.1450  3703.223 12 11 P1   11  1
26996.1310  3703.225  2  2 R2  111  1
26995.6840  3703.286 12 11 P2   11  1
26992.5270  3703.719  3  3 R1  116  1
26992.1020  3703.777  3  3 R2  116  1
26991.4470  3703.867 12 11 P1   12  1
26990.7730  3703.960 12 11 P2   12  1
26984.2170  3704.860  2  2 R1  110  1
26983.6890  3704.932  1  1 R1  109  1
26983.1230  3705.010  0  0 R1  110  1
26982.6540  3705.074  0  0 R2  110  1
26974.2150  3706.233  3  3 R1  114  1
26973.7620  3706.296  3  3 R2  114  1
26971.7990  3706.565  2  2 R1  109  1
26971.3260  3706.630  2  2 R2  109  1
26969.1890  3706.924  1  1 R1  108  1
26968.7290  3706.987  1  1 R2  108  1
26966.9320  3707.234  0  0 R1  109  1
26966.5040  3707.293  0  0 R2  109  1
26964.8320  3707.523  3  3 R1  113  1
26964.4020  3707.582  3  3 R2  113  1
26959.4120  3708.268  2  2 R1  108  1
26958.9180  3708.336  2  2 R2  108  1
26955.4410  3708.815  3  3 R1  112  1
26954.7480  3708.910  1  1 R1  107  1
26954.2580  3708.977  1  1 R2  107  1
26950.8010  3709.453  0  0 R1  108  1
26950.3610  3709.514  0  0 R2  108  1
26947.8520  3709.859  3  3 R1  111  1
26947.5610  3709.899  3  3 R2  111  1
26944.5590  3710.313  2  2 R2  107  1
26940.2870  3710.901  1  1 R1  106  1
26939.8180  3710.966  1  1 R2  106  1
26935.6350  3711.542  3  3 R1  110  1
26935.2340  3711.597  3  3 R2  110  1
26934.7750  3711.660  0  0 R1  107  1
26934.2950  3711.726  0  0 R2  107  1
26933.6820  3711.811  2  2 R2  106  1
26925.8930  3712.885  1  1 R1  105  1
26925.4160  3712.950  1  1 R2  105  1
26921.7050  3713.462  2  2 R1  105  1
26921.2150  3713.530  2  2 R2  105  1
26918.7910  3713.864  0  0 R1  106  1
26918.3500  3713.925  0  0 R2  106  1
26916.0270  3714.246  3  3 R1  108  1
26915.5430  3714.312  3  3 R2  108  1
26911.5040  3714.870  1  1 R1  104  1
26911.0180  3714.937  1  1 R2  104  1
26909.1760  3715.191  2  2 R1  104  1
26908.6740  3715.261  2  2 R2  104  1
26906.0200  3715.627  3  3 R1  107  1
26905.5140  3715.697  3  3 R2  107  1
26902.8690  3716.062  0  0 R1  105  1
26902.4260  3716.123  0  0 R2  105  1
26898.3980  3716.680  4  4 R1  119  1
26897.9530  3716.741  4  4 R2  119  1
26897.1860  3716.847  1  1 R1  103  1
26896.6740  3716.918  1  1 R2  103  1
26893.8090  3717.314  4  4 R1  118  1
26893.3810  3717.373  4  4 R2  118  1
26888.9180  3717.990  4  4 R1  117  1
26888.5060  3718.047  4  4 R2  117  1
26887.0180  3718.253  0  0 R1  104  1
26886.5660  3718.316  0  0 R2  104  1
26885.7640  3718.426  3  3 R1  105  1
26885.2360  3718.499  3  3 R2  105  1
26884.0880  3718.658  2  2 R1  102  1
26883.5700  3718.730  2  2 R2  102  1
26882.0880  3718.935  1  1 R1  102  1
26882.0880  3718.935  1  1 R2  102  1
26878.3960  3719.446  4  4 R1  115  1
26878.0590  3719.492  4  4 R2  115  1
26875.5640  3719.838  3  3 R1  104  1
26874.9900  3719.917  3  3 R2  104  1
26871.2540  3720.434  0  0 R1  103  1
26870.8200  3720.494  0  0 R2  103  1
26868.4820  3720.818  1  1 R1  101  1
26867.9960  3720.885  1  1 R2  101  1
26866.3220  3721.117  4  4 R1  113  1
26865.2580  3721.265  3  3 R1  103  1
26864.7250  3721.339  3  3 R2  103  1
26860.4300  3721.934  4  4 R1  112  1
26860.0640  3721.984  4  4 R2  112  1
26858.9820  3722.134  2  2 R1  100  1
26858.4430  3722.209  2  2 R2  100  1
26855.5120  3722.615  0  0 R1  102  1
26855.0550  3722.679  0  0 R2  102  1
26854.2910  3722.784  1  1 R1  100  1
26853.7640  3722.857  1  1 R2  100  1
26847.7250  3723.695  4  4 R1  110  1
26847.2230  3723.765  4  4 R2  110  1
26846.4450  3723.872  2  2 R1   99  1
26845.8950  3723.949  2  2 R2   99  1
26839.9280  3724.777  0  0 R1  101  1
26839.4550  3724.842  0  0 R2  101  1
26833.8890  3725.615  2  2 R1   98  1
26833.3590  3725.688  2  2 R2   98  1
26832.9120  3725.751  3  3 R2  100  1
26827.3810  3726.519  4  4 R1  107  1
26826.8380  3726.594  4  4 R2  107  1
26825.9450  3726.718  1  1 R1   98  1
26825.4380  3726.789  1  1 R2   98  1
26824.2850  3726.949  0  0 R1  100  1
26823.8140  3727.014  0  0 R2  100  1
26823.0330  3727.123  3  3 R1   99  1
26822.5310  3727.193  3  3 R2   99  1
26821.4450  3727.343  2  2 R1   97  1
26820.8630  3727.424  2  2 R2   97  1
26820.1560  3727.523  4  4 R2  106  1
26812.5350  3728.582  3  3 R1   98  1
26811.8850  3728.672  1  1 R1   97  1
26811.3200  3728.751  1  1 R2   97  1
26809.3030  3729.032  2  2 R1   96  1
26808.7730  3729.105  0  0 R1   99  1
26808.3090  3729.170  0  0 R2   99  1
26804.6700  3729.676  4  4 R1  104  1
26804.2150  3729.739  4  4 R2  104  1
26801.9670  3730.052  3  3 R1   97  1
26801.3950  3730.132  3  3 R2   97  1
26797.8120  3730.631  1  1 R1   96  1
26797.2830  3730.704  1  1 R2   96  1
26796.6480  3730.793  4  4 R2  103  1
26795.8590  3730.902  2  2 R1   95  1
26795.4240  3730.963  2  2 R2   95  1
26793.3570  3731.251  0  0 R1   98  1
26792.8790  3731.317  0  0 R2   98  1
26791.3550  3731.530  3  3 R1   96  1
26790.7770  3731.610  3  3 R2   96  1
26789.5740  3731.778  4  4 R1  102  1
26789.0370  3731.853  4  4 R2  102  1
26783.7700  3732.586  1  1 R1   95  1
26783.2480  3732.659  1  1 R2   95  1
26781.7710  3732.865  4  4 R1  101  1
26781.2290  3732.941  4  4 R2  101  1
26780.7210  3733.011  3  3 R1   95  1
26780.1210  3733.095  3  3 R2   95  1
26778.0140  3733.389  0  0 R1   97  1
26777.5310  3733.456  0  0 R2   97  1
26773.8540  3733.969  4  4 R1  100  1
26773.2950  3734.047  4  4 R2  100  1
26771.2640  3734.330  2  2 R1   93  1
26771.2640  3734.330  2  2 R2   93  1
26769.9490  3734.514  1  1 R1   94  1
26769.3730  3734.594  1  1 R2   94  1
26766.7190  3734.964  4  4 R1   99  1
26765.2790  3735.165  4  4 R2   99  1
26762.9900  3735.485  0  0 R1   96  1
26761.7850  3735.653  0  0 R2   96  1
26759.4000  3735.986  3  3 R1   93  1
26758.8090  3736.068  2  2 R1   92  1
26758.2660  3736.144  2  2 R2   92  1
26757.8850  3736.197  4  4 R1   98  1
26757.2190  3736.290  4  4 R2   98  1
26756.0100  3736.459  1  1 R1   93  1
26755.4790  3736.533  1  1 R2   93  1
26749.6480  3737.348  4  4 R1   97  1
26748.8240  3737.463  3  3 R1   92  1
26748.0880  3737.566  3  3 R2   92  1
26747.5230  3737.645  0  0 R1   95  1
26747.0410  3737.712  0  0 R2   95  1
26746.4380  3737.796  2  2 R1   91  1
26745.8730  3737.875  2  2 R2   91  1
26742.2070  3738.388  1  1 R1   92  1
26741.6660  3738.463  1  1 R2   92  1
26740.9820  3738.559  4  4 R2   96  1
26738.0620  3738.967  3  3 R1   91  1
26737.4360  3739.055  3  3 R2   91  1
26736.4450  3739.193  4  4 R1   95  1
26736.4450  3739.193  4  4 R2   95  1
26734.0900  3739.523  2  2 R1   90  1
26733.5180  3739.603  2  2 R2   90  1
26732.4220  3739.756  0  0 R1   94  1
26731.9340  3739.824  0  0 R2   94  1
26728.4530  3740.311  1  1 R1   91  1
26727.8980  3740.389  1  1 R2   91  1
26727.5620  3740.436  3  3 R1   90  1
26726.8960  3740.529  3  3 R2   90  1
26722.6700  3741.121  4  4 R1   94  1
26722.6700  3741.121  4  4 R2   94  1
26721.7640  3741.248  2  2 R1   89  1
26721.1840  3741.329  2  2 R2   89  1
26718.5590  3741.696  3  3 R1   89  1
26718.1560  3741.753  3  3 R2   89  1
26717.3960  3741.859  0  0 R1   93  1
26716.9060  3741.928  0  0 R2   93  1
26714.8110  3742.221  1  1 R1   90  1
26714.2640  3742.298  1  1 R2   90  1
26709.4820  3742.968  2  2 R1   88  1
26708.8980  3743.050  2  2 R2   88  1
26706.5180  3743.383  4  4 R1   92  1
26705.8870  3743.472  4  4 R2   92  1
26704.7170  3743.636  3  3 R1   88  1
26704.3930  3743.681  3  3 R2   88  1
26702.4590  3743.952  0  0 R1   92  1
26701.9690  3744.021  0  0 R2   92  1
26701.5410  3744.081  1  1 R1   89  1
26701.1020  3744.143  1  1 R2   89  1
26697.9390  3744.586  4  4 R1   91  1
26697.2540  3744.682  2  2 R1   87  1
26696.6410  3744.768  2  2 R2   87  1
26694.5000  3745.069  3  3 R1   87  1
26693.9820  3745.141  3  3 R2   87  1
26689.2810  3745.801  4  4 R1   90  1
26688.6450  3745.890  4  4 R2   90  1
26687.5980  3746.037  0  0 R1   91  1
26687.1150  3746.105  0  0 R2   91  1
26685.0550  3746.394  2  2 R1   86  1
26684.4450  3746.480  2  2 R2   86  1
26683.9220  3746.553  3  3 R1   86  1
26683.2400  3746.649  3  3 R2   86  1
26680.5490  3747.027  4  4 R1   89  1
26679.9040  3747.118  4  4 R2   89  1
26673.9570  3747.953  1  1 R1   87  1
26673.4040  3748.031  1  1 R2   87  1
26672.8480  3748.109  0  0 R1   90  1
26672.3300  3748.182  0  0 R2   90  1
26671.7340  3748.265  4  4 R1   88  1
26671.0780  3748.358  4  4 R2   88  1
26662.6930  3749.536  3  3 R1   84  1
26662.0740  3749.623  3  3 R2   84  1
26660.6110  3749.829  1  1 R1   86  1
26659.9450  3749.923  1  1 R2   86  1
26658.1580  3750.174  0  0 R1   89  1
26657.6560  3750.245  0  0 R2   89  1
26654.1580  3750.737  4  4 R1   86  1
26653.3950  3750.844  4  4 R2   86  1
26651.9980  3751.041  3  3 R1   83  1
26651.3690  3751.130  3  3 R2   83  1
26648.8180  3751.489  2  2 R1   83  1
26648.1990  3751.576  2  2 R2   83  1
26647.2150  3751.714  1  1 R1   85  1
26646.6720  3751.791  1  1 R2   85  1
26645.3730  3751.974  4  4 R1   85  1
26644.5860  3752.084  4  4 R2   85  1
26643.5740  3752.227  0  0 R1   88  1
26643.0700  3752.298  0  0 R2   88  1
26641.3610  3752.539  3  3 R1   82  1
26640.7440  3752.626  3  3 R2   82  1
26637.0430  3753.147  2  2 R1   82  1
26636.3960  3753.238  2  2 R2   82  1
26635.7540  3753.329  4  4 R2   84  1
26633.9410  3753.584  1  1 R1   84  1
26633.3960  3753.661  1  1 R2   84  1
26630.7770  3754.030  3  3 R1   81  1
26630.1150  3754.123  3  3 R2   81  1
26629.0780  3754.270  0  0 R1   87  1
26628.5720  3754.341  0  0 R2   87  1
26627.8890  3754.437  4  4 R1   83  1
26627.1050  3754.548  4  4 R2   83  1
26622.5780  3755.186  2  2 R1   81  1
26621.6090  3755.323  2  2 R2   81  1
26620.7320  3755.447  1  1 R1   83  1
26620.1970  3755.522  1  1 R2   83  1
26619.5840  3755.609  3  3 R2   80  1
26617.4220  3755.914  5  5 R2   89  1
26616.5390  3756.038  5  5 R1   89  1
26614.6740  3756.301  0  0 R1   86  1
26614.1660  3756.373  0  0 R2   86  1
26612.3790  3756.625  2  2 R1   80  1
26611.8690  3756.697  2  2 R2   80  1
26609.6600  3757.009  3  3 R1   79  1
26608.9800  3757.105  3  3 R2   79  1
26607.6230  3757.297  1  1 R1   82  1
26607.0740  3757.374  1  1 R2   82  1
26606.2830  3757.486  4  4 R1   81  1
