wno(vac) wavel(air) v  v Branch N" noINmeanVALUE
29094.9510  3436.085 11  9 R2    4  1
29092.1480  3436.416 11  9 R1    3  1
29092.1480  3436.416 11  9 R2    3  1
29089.2290  3436.761 11  9 R1    2  1
29089.2290  3436.761 11  9 R2    2  1
29086.1660  3437.123 11  9 R1    1  1
29086.1660  3437.123 11  9 R2    1  1
29076.1800  3438.304 11  9 P1    1  1
29076.1800  3438.304 11  9 P2    1  1
29072.5760  3438.730 11  9 P1    2  1
29072.5760  3438.730 11  9 P2    2  1
29068.8460  3439.171 11  9 P1    3  1
29068.8460  3439.171 11  9 P2    3  1
29064.9800  3439.629 11  9 P1    4  1
29064.9800  3439.629 11  9 P2    4  1
29060.9730  3440.103 11  9 P1    5  1
29060.9730  3440.103 11  9 P2    5  1
29056.8460  3440.591 11  9 P1    6  1
29056.8460  3440.591 11  9 P2    6  1
29052.6230  3441.092 11  9 P1    7  1
29052.5270  3441.103 11  9 P2    7  1
29048.2230  3441.613 11  9 P1    8  1
29048.1170  3441.625 11  9 P2    8  1
29043.6840  3442.151 11  9 P1    9  1
29043.5620  3442.165 11  9 P2    9  1
29039.0160  3442.704 11  9 P1   10  1
29038.8810  3442.720 11  9 P2   10  1
29034.2090  3443.274 11  9 P1   11  1
29034.0680  3443.291 11  9 P2   11  1
29029.2620  3443.861 11  9 P1   12  1
29029.1050  3443.879 11  9 P2   12  1
29024.1780  3444.464 11  9 P1   13  1
29024.0200  3444.483 11  9 P2   13  1
29018.9470  3445.085 11  9 P1   14  1
29018.7890  3445.104 11  9 P2   14  1
29013.5900  3445.721 11  9 P1   15  1
29013.4220  3445.741 11  9 P2   15  1
29008.0880  3446.374 11  9 P1   16  1
29007.9080  3446.396 11  9 P2   16  1
29002.4470  3447.045 11  9 P1   17  1
29002.2440  3447.069 11  9 P2   17  1
28996.6410  3447.735 11  9 P1   18  1
28996.4710  3447.755 11  9 P2   18  1
28990.6880  3448.443 11  9 P1   19  1
28990.5200  3448.463 11  9 P2   19  1
28846.7050  3465.655 12 10 R1   12  1
28846.3030  3465.704 12 10 R2   12  1
28845.5960  3465.788 12 10 R1   11  1
28845.2480  3465.830 12 10 R2   11  1
28844.2620  3465.949 12 10 R1   10  1
28843.9790  3465.983 12 10 R2   10  1
28842.7440  3466.131 12 10 R1    9  1
28842.5020  3466.160 12 10 R2    9  1
28841.0290  3466.337 12 10 R1    8  1
28840.8340  3466.361 12 10 R2    8  1
28839.1430  3466.564 12 10 R1    7  1
28838.9750  3466.584 12 10 R2    7  1
28837.0700  3466.813 12 10 R1    6  1
28836.9410  3466.829 12 10 R2    6  1
28834.8320  3467.082 12 10 R1    5  1
28834.7270  3467.095 12 10 R2    5  1
28832.4220  3467.372 12 10 R1    4  1
28832.3400  3467.382 12 10 R2    4  1
28829.7890  3467.689 12 10 R1    3  1
28829.7890  3467.689 12 10 R2    3  1
28827.0430  3468.019 12 10 R1    2  1
28827.0430  3468.019 12 10 R2    2  1
28824.1170  3468.371 12 10 R1    1  1
28824.1170  3468.371 12 10 R2    1  1
28814.3420  3469.548 12 10 P1    1  1
28814.3420  3469.548 12 10 P2    1  1
28810.7500  3469.980 12 10 P1    2  1
28810.7500  3469.980 12 10 P2    2  1
28806.9790  3470.435 12 10 P1    3  1
28806.9790  3470.435 12 10 P2    3  1
28803.0470  3470.908 12 10 P1    4  1
28803.0470  3470.908 12 10 P2    4  1
28798.9450  3471.403 12 10 P1    5  1
28798.9450  3471.403 12 10 P2    5  1
28794.7230  3471.912 12 10 P1    6  1
28794.6310  3471.923 12 10 P2    6  1
28794.2640  3471.967  1  0 R1  107  1
28793.6270  3472.044  1  0 R2  107  1
28790.2850  3472.447 12 10 P1    7  1
28790.1660  3472.461 12 10 P2    7  1
28785.6840  3473.002 12 10 P1    8  1
28785.5390  3473.019 12 10 P2    8  1
28783.5370  3473.261  1  0 R1  106  1
28783.0490  3473.320  1  0 R2  106  1
28780.9020  3473.579 12 10 P1    9  1
28780.7270  3473.600 12 10 P2    9  1
28775.9490  3474.177 12 10 P1   10  1
28775.7400  3474.202 12 10 P2   10  1
28772.8710  3474.548  1  0 R1  105  1
28772.4120  3474.604  1  0 R2  105  1
28770.8160  3474.797 12 10 P1   11  1
28770.5660  3474.827 12 10 P2   11  1
28765.5020  3475.439 12 10 P1   12  1
28765.2070  3475.474 12 10 P2   12  1
28762.2130  3475.836  1  0 R1  104  1
28761.7380  3475.893  1  0 R2  104  1
28760.0000  3476.103 12 10 P1   13  1
28759.6460  3476.146 12 10 P2   13  1
28754.2770  3476.795 12 10 P1   14  1
28753.8710  3476.844 12 10 P2   14  1
28751.5760  3477.122  1  0 R1  103  1
28751.1000  3477.179  1  0 R2  103  1
28750.3050  3477.276  2  1 R1  106  1
28749.8380  3477.332  2  1 R2  106  1
28748.3140  3477.516 12 10 P1   15  1
28747.8540  3477.572 12 10 P2   15  1
28741.9100  3478.291 12 10 P1   16  1
28741.6270  3478.326  2  1 R1  105  1
28741.5310  3478.337 12 10 P2   16  1
28741.1880  3478.379  2  1 R2  105  1
28732.8610  3479.387  2  1 R1  104  1
28732.3670  3479.447  2  1 R2  104  1
28730.1330  3479.717  1  0 R1  101  1
28729.6660  3479.774  1  0 R2  101  1
28724.0410  3480.455  2  1 R1  103  1
28723.5020  3480.520  2  1 R2  103  1
28719.5060  3481.005  1  0 R1  100  1
28719.0000  3481.066  1  0 R2  100  1
28715.1600  3481.532  2  1 R1  102  1
28714.6310  3481.596  2  1 R2  102  1
28708.8810  3482.293  1  0 R1   99  1
28708.3850  3482.353  1  0 R2   99  1
28706.2110  3482.617  2  1 R1  101  1
28705.7170  3482.677  2  1 R2  101  1
28698.2110  3483.588  1  0 R1   98  1
28697.7320  3483.646  1  0 R2   98  1
28697.2710  3483.702  2  1 R1  100  1
28696.7290  3483.768  2  1 R2  100  1
28691.2730  3484.430  3  2 R1  107  1
28690.7210  3484.497  3  2 R2  107  1
28688.2640  3484.796  2  1 R1   99  1
28687.6560  3484.869  1  0 R1   97  1
28687.6560  3484.869  2  1 R2   99  1
28687.0900  3484.938  1  0 R2   97  1
28684.9610  3485.197  3  2 R1  106  1
28684.4450  3485.260  3  2 R2  106  1
28679.2230  3485.894  2  1 R1   98  1
28678.6890  3485.959  2  1 R2   98  1
28676.9670  3486.168  1  0 R1   96  1
28676.4630  3486.230  1  0 R2   96  1
28670.2560  3486.984  2  1 R1   97  1
28669.6950  3487.053  2  1 R2   97  1
28666.3810  3487.456  1  0 R1   95  1
28665.8160  3487.524  1  0 R2   95  1
28661.5620  3488.042  2  1 R1   96  1
28660.9900  3488.112  2  1 R2   96  1
28659.0230  3488.351  3  2 R1  102  1
28658.5210  3488.412  3  2 R2  102  1
28655.8090  3488.742  1  0 R1   94  1
28655.2660  3488.808  1  0 R2   94  1
28651.5250  3489.264  2  1 R1   95  1
28651.0940  3489.316  2  1 R2   95  1
28645.2320  3490.031  1  0 R1   93  1
28644.6780  3490.098  1  0 R2   93  1
28642.6820  3490.341  2  1 R1   94  1
28642.1520  3490.406  2  1 R2   94  1
28637.8520  3490.930  3  2 R1   99  1
28637.3440  3490.992  3  2 R2   99  1
28634.7130  3491.313  1  0 R1   92  1
28634.1580  3491.380  1  0 R2   92  1
28634.1580  3491.380  2  1 R1   93  1
28633.6430  3491.443  2  1 R2   93  1
28630.8770  3491.780  3  2 R1   98  1
28630.3220  3491.848  3  2 R2   98  1
28624.4510  3492.564  2  1 R1   92  1
28623.8770  3492.634  2  1 R2   92  1
28616.6460  3493.517  3  2 R1   96  1
28616.0700  3493.587  3  2 R2   96  1
28615.3690  3493.673  2  1 R1   91  1
28614.8030  3493.742  2  1 R2   91  1
28613.7620  3493.869  1  0 R1   90  1
28613.2130  3493.936  1  0 R2   90  1
28609.4300  3494.398  3  2 R1   95  1
28608.8400  3494.470  3  2 R2   95  1
28606.2540  3494.786  2  1 R1   90  1
28605.6620  3494.858  2  1 R2   90  1
28603.6840  3495.100  1  0 R1   89  1
28603.2560  3495.152  1  0 R2   89  1
28602.1620  3495.286  3  2 R1   94  1
28601.5660  3495.359  3  2 R2   94  1
28597.1020  3495.904  2  1 R1   89  1
28596.5180  3495.976  2  1 R2   89  1
28594.8540  3496.179  3  2 R1   93  1
28594.2170  3496.257  3  2 R2   93  1
28592.6520  3496.448  1  0 R1   88  1
28592.1560  3496.509  1  0 R2   88  1
28587.9670  3497.021  2  1 R1   88  1
28587.4240  3497.088  2  1 R2   88  1
28587.4240  3497.088  3  2 R1   92  1
